bus_33998182_001,-48.11941818668326,-21.742633048129377
bus_33998182_002,-48.119554599984724,-21.742664860633067
bus_33998182_003,-48.11923543519029,-21.742593716151234
bus_33998182_004,-48.11989841046936,-21.742776784104503
bus_33998182_005,-48.11900494136433,-21.74252658459925
bus_33998182_006,-48.1193040416195,-21.74302824297047
bus_33998182_007,-48.11923323898162,-21.743189502669644
bus_33998182_008,-48.11897355858418,-21.743130773465438
bus_33998182_009,-48.119338392361534,-21.743245460326044
bus_33998182_010,-48.11921151827922,-21.743306426034025
bus_33998182_011,-48.118637429659884,-21.74302565253711
bus_33998182_012,-48.11968485482941,-21.743314645513177
bus_33998182_013,-48.11946239096127,-21.742765334177477
bus_33998182_014,-48.119498366922976,-21.742490022659066
bus_33998182_015,-48.11959108380218,-21.742685742378207
bus_33998182_016,-48.119590507963515,-21.74271273820332
bus_33998182_017,-48.11926784961944,-21.742555921496635
bus_33998182_018,-48.11985799122811,-21.7427302552249
bus_33998182_019,-48.11983384992536,-21.742784319545308
bus_33998182_020,-48.11905316315152,-21.742527389944314
bus_33998182_021,-48.11904927063167,-21.74257078371348
bus_33998182_022,-48.11935236012768,-21.74302904638666
bus_33998182_023,-48.119368141483015,-21.742985969883822
bus_33998182_024,-48.11902178252428,-21.74313166900958
bus_33998182_025,-48.1189252400289,-21.74312996994222
bus_33998182_026,-48.119386901336384,-21.743232722523995
bus_33998182_027,-48.11934831600024,-21.743306824145247
bus_33998182_028,-48.119290360747215,-21.743231113892666
bus_33998182_029,-48.119289784863824,-21.743258109722177
bus_33998182_030,-48.11925983688403,-21.74330722946624
bus_33998182_031,-48.11871201292879,-21.74294545717974
bus_33998182_032,-48.11870006435749,-21.743103350588424
bus_33998182_033,-48.11865267652596,-21.74309197009305
bus_33998182_034,-48.11857896757392,-21.743051664163854
bus_33998182_035,-48.11973500323102,-21.743234730163124
bus_33998182_036,-48.11971234806886,-21.743227937469268
bus_33998182_037,-48.11967643945749,-21.74321579923535
bus_33998182_038,-48.11963624930306,-21.743327385224305
bus_33998182_039,-48.1196338392224,-21.743242685273326
