Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line._ABCN_L23-SEC,    2.30786,   -62.08, 2.53216E-005,   -61.50,    5.05479,    58.22,    4.21232,  -150.33,    0.19169,    64.51,    2.30787,   117.92, 5.06396E-013,   -92.74,     5.0548,  -121.78,    4.21233,    29.67,   0.191689,  -115.49
Line._BN_L24-RAMAL,    1.65007,   178.19,    1.64362,    -1.17,          0,     0.00,          0,     0.00,  0.0194392,   107.88,    1.65007,    -1.81,    1.64362,   178.83,          0,     0.00,          0,     0.00,    0.01944,   -72.12
Line._ABN_L25-RAMAL,  0.0510379,   -61.97,   0.373822,   178.12,   0.355174,     3.68,          0,     0.00,  0.0111177,   -64.41,  0.0510453,   118.02,   0.373824,    -1.88,   0.355177,  -176.32,          0,     0.00,  0.0111175,   115.59
Line._CN_L26-RAMAL,   0.257442,    58.15,   0.259359,  -120.70,          0,     0.00,          0,     0.00, 0.00551216,   -51.63,   0.257446,  -121.85,   0.259363,    59.30,          0,     0.00,          0,     0.00, 0.00551284,   128.38
Line._ABCN_L27-SEC,    3.45655,   -61.97,   0.528969,   178.10,      1.581,    58.21,    2.46584,   138.25,   0.100991,   -28.29,    3.45657,   118.03,   0.528981,    -1.90,    1.58101,  -121.79,    2.46585,   -41.75,   0.100991,   151.71
Line._AN_L28-RAMAL,    1.77379,   -61.97,    1.76447,   118.00,          0,     0.00,          0,     0.00, 0.00934958,   -58.12,     1.7738,   118.03,    1.76447,   -62.00,          0,     0.00,          0,     0.00, 0.00934997,   121.88
Line._CN_L29-RAMAL,   0.612987,    58.15,   0.614328,  -121.37,          0,     0.00,          0,     0.00, 0.00532619,   -46.18,   0.612991,  -121.85,   0.614331,    58.63,          0,     0.00,          0,     0.00, 0.00532676,   133.82
Line._AN_L30-RAMAL,    1.47477,   -61.98,     1.4718,   118.19,          0,     0.00,          0,     0.00, 0.00529397,  -117.80,    1.47477,   118.02,     1.4718,   -61.81,          0,     0.00,          0,     0.00, 0.00529477,    62.20
Line._CN_L31-RAMAL,    1.78122,    58.22,    1.72988,  -122.00,          0,     0.00,          0,     0.00,  0.0518014,    65.75,    1.78122,  -121.78,    1.72988,    58.00,          0,     0.00,          0,     0.00,  0.0518022,  -114.25
Line._CN_L32-RAMAL,    2.18174,    58.23,    2.12941,  -121.96,          0,     0.00,          0,     0.00,  0.0527895,    65.69,    2.18175,  -121.77,    2.12942,    58.04,          0,     0.00,          0,     0.00,  0.0527902,  -114.32
