hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
64, 1800.00000, -1708.71, 594.587, -2242.28, 766.807, -3213.21, 2125.47
64, 2700.00000, -1722.43, 587.754, -2250.4, 763.547, -3227.95, 2122.54
65, 0.00000, -1747.57, 594.153, -2288.12, 758.567, -3237.93, 2115.5
65, 900.00000, 938.788, 738.582, 686.062, 478.934, 858.65, 769.132
65, 1800.00000, 1399.35, 1192.51, 1074.25, 708.138, 1367.38, 1235.43
65, 2700.00000, 1191.26, 989.051, 863.987, 577.07, 1139.1, 1035.55
66, 0.00000, 1019.54, 837.91, 706.855, 471.747, 937.078, 867.132
66, 900.00000, 1400.72, 859.753, 1078.73, 491.224, 1568.27, 978.133
66, 1800.00000, 1374.99, 889.038, 1083.64, 479.611, 1579.12, 935.357
66, 2700.00000, 1216.15, 748.244, 919.281, 363.107, 1398.1, 776.775
67, 0.00000, 1144.01, 682.416, 849.807, 314.643, 1310.07, 705.345
67, 900.00000, 1155.8, 692.713, 855.933, 316.383, 1317.05, 718.919
67, 1800.00000, 1182.83, 717.364, 878.094, 331.037, 1347.92, 747.542
67, 2700.00000, 1211.22, 744.388, 902.509, 347.039, 1381.06, 777.228
68, 0.00000, 1218.16, 751.033, 909.199, 352.497, 1391.98, 784.59
68, 900.00000, 1455.86, 1005.15, 1124.08, 469.209, 1619.15, 1031.14
68, 1800.00000, 1094.01, 631.522, 810.068, 302.937, 1282.35, 658.02
68, 2700.00000, 1281.75, 821.191, 965.9, 374.874, 1437.91, 845.409
69, 0.00000, 1278.92, 804.116, 955.818, 385.965, 1461.87, 853.361
69, 900.00000, 1067.74, 613.948, 791.498, 281.977, 1236.83, 625.961
69, 1800.00000, 1122.33, 662.265, 827.161, 294.967, 1271.88, 683.651
69, 2700.00000, 1081.18, 622.894, 794.623, 279.616, 1236.7, 642.696
70, 0.00000, 1037.08, 584.255, 759.481, 255.98, 1184.3, 596.98
70, 900.00000, 988.587, 540.729, 719.946, 230.744, 1126.18, 547.713
70, 1800.00000, 924.723, 485.002, 668.998, 198.64, 1051.08, 483.622
70, 2700.00000, 861.562, 430.644, 618.572, 166.911, 975.823, 421.358
71, 0.00000, 772.746, 355.442, 549.819, 124.088, 863.831, 330.575
71, 900.00000, 724.848, 315.395, 514.095, 102.657, 803.47, 281.615
71, 1800.00000, 694.157, 271.016, 491.133, 65.8046, 756.279, 232.521
71, 2700.00000, 729.934, 299.209, 515.247, 79.957, 796.069, 264.471
