t, Iteration, LoadMultiplier, Mode, LoadModel, PVSystemModel,  Qnominalperphase, Pnominalperphase, CurrentType, |Iinj1|, |Iterm1|, |Vterm1|,Vthev, Theta
1800, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     36.1,     36.1,    127.0, 
1800, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     36.1,     36.1,    127.0, 
1800, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     36.1,     36.1,    127.0, 
2700, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     36.1,     36.1,    127.0, 
2700, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     36.1,     36.1,    127.0, 
2700, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     36.1,     36.1,    127.0, 
2700, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     36.1,     36.1,    127.0, 
0, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     36.1,     36.1,    127.0, 
0, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     36.1,     36.1,    127.0, 
0, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     36.1,     36.1,    127.0, 
0, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     36.1,     36.1,    127.0, 
900, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     32.5,     32.5,    127.0, 
900, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     32.5,     32.5,    127.0, 
900, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     32.5,     32.5,    127.0, 
900, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     32.5,     32.5,    127.0, 
1800, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     32.5,     32.5,    127.0, 
1800, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     32.5,     32.5,    127.0, 
1800, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     32.5,     32.5,    127.0, 
1800, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     32.5,     32.5,    127.0, 
2700, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     32.5,     32.5,    127.0, 
2700, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     32.5,     32.5,    127.0, 
2700, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     32.5,     32.5,    127.0, 
2700, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     32.5,     32.5,    127.0, 
0, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     32.5,     32.5,    127.0, 
0, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     32.5,     32.5,    127.0, 
0, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     32.5,     32.5,    127.0, 
0, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     32.5,     32.5,    127.0, 
900, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     28.1,     28.1,    127.0, 
900, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     28.1,     28.1,    127.0, 
900, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     28.1,     28.1,    127.0, 
900, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     28.1,     28.1,    127.0, 
1800, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     28.1,     28.1,    127.0, 
1800, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     28.1,     28.1,    127.0, 
1800, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     28.1,     28.1,    127.0, 
1800, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     28.1,     28.1,    127.0, 
2700, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     28.1,     28.1,    127.0, 
2700, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     28.1,     28.1,    127.0, 
2700, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     28.1,     28.1,    127.0, 
2700, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     28.1,     28.1,    127.0, 
0, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     28.1,     28.1,    127.0, 
0, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     28.1,     28.1,    127.0, 
0, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     28.1,     28.1,    127.0, 
0, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     28.1,     28.1,    127.0, 
900, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     23.8,     23.8,    127.0, 
900, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     23.8,     23.8,    127.0, 
900, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     23.8,     23.8,    127.0, 
900, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     23.8,     23.8,    127.0, 
1800, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     23.8,     23.8,    127.0, 
1800, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     23.8,     23.8,    127.0, 
1800, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     23.8,     23.8,    127.0, 
1800, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     23.8,     23.8,    127.0, 
2700, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     23.8,     23.8,    127.0, 
2700, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     23.8,     23.8,    127.0, 
2700, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     23.8,     23.8,    127.0, 
2700, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     23.8,     23.8,    127.0, 
0, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     23.8,     23.8,    127.0, 
0, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     23.8,     23.8,    127.0, 
0, 1, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     23.8,     23.8,    127.0, 
0, 2, 1, Daily, PowerFlow, 1,     0.00,     0.01, Injection,     23.8,     23.8,    127.0, 
