Nome_ID,Case,Simulation,Barras,Fase,TimeMaxPU,ValueMaxPU,TimeMinPU,ValueMinPU,Time_0,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Time_17,Time_18,Time_19,Time_20,Time_21,Time_22,Time_23,Time_24,Time_25,Time_26,Time_27,Time_28,Time_29,Time_30,Time_31,Time_32,Time_33,Time_34,Time_35,Time_36,Time_37,Time_38,Time_39,Time_40,Time_41,Time_42,Time_43,Time_44,Time_45,Time_46,Time_47,Time_48,Time_49,Time_50,Time_51,Time_52,Time_53,Time_54,Time_55,Time_56,Time_57,Time_58,Time_59,Time_60,Time_61,Time_62,Time_63,Time_64,Time_65,Time_66,Time_67,Time_68,Time_69,Time_70,Time_71,Time_72,Time_73,Time_74,Time_75,Time_76,Time_77,Time_78,Time_79,Time_80,Time_81,Time_82,Time_83,Time_84,Time_85,Time_86,Time_87,Time_88,Time_89,Time_90,Time_91,Time_92,Time_93,Time_94,Time_95,
288,1,3,bus_xfmr_pri_33998182,B,Time_60,0.9999242450536443,Time_41,0.9999015629977439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999103135858376,0.9999015629977439,0.9999030878471767,0.99990666496871,0.9999072016499082,0.9999091586220356,0.9999084352537476,0.999907837581579,0.9999087020415558,0.9999087922009291,0.9999081755568257,0.9999077521769764,0.9999072942962063,0.9999158641473072,0.9999144518274775,0.9999146834773704,0.9999145860284226,0.9999238450915009,0.9999238849834822,0.9999238698964378,0.9999242450536443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
289,1,3,bus_xfmr_sec_33998182,B,Time_58,0.9795538705572193,Time_44,0.9685981644583761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974191706848004,0.9702546940534895,0.9695428789013818,0.9686921318720471,0.9685981644583761,0.9724279397687311,0.972566821285869,0.9723561090898434,0.9724323127844328,0.9729394794336302,0.9731863820992511,0.9736143236217927,0.9736344375895775,0.9756463735617806,0.976583491681144,0.9763018824238182,0.9763281152791339,0.9795275717470528,0.9795538705572193,0.9793379905288878,0.9789863139210595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
290,1,3,bus_33998182_001,B,Time_58,0.9756114435318182,Time_44,0.9633488727401941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9694750027510077,0.9651564664635429,0.9644315114405405,0.9634768837806591,0.9633488727401941,0.9675645110889413,0.9676062840428016,0.9675635942616185,0.9675322769844173,0.9682273301310597,0.968566746547402,0.9689841070546071,0.9688740383431957,0.9712481607205449,0.9722356596547388,0.971873072708675,0.9719213338442437,0.975528825983814,0.9756114435318182,0.9753988445777829,0.9749903661825515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
291,1,3,bus_33998182_013,B,TBD,0,TBD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
292,1,3,bus_33998182_006,B,Time_58,0.9899466563003626,Time_44,0.9835637159768094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9870044588679722,0.985398102817123,0.9845036749126471,0.983635596492013,0.9835637159768094,0.9862135607063739,0.9864729969397518,0.9862721202876109,0.9862602806997817,0.9865884577263228,0.9869252538643095,0.9873220831957252,0.987260018633491,0.9875201136478523,0.988702180058214,0.9883175308648476,0.9884616789468783,0.9899133222451753,0.9899466563003626,0.9897140783906185,0.9892621801279025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
293,1,3,bus_33998182_014,B,Time_58,0.9756114437747907,Time_44,0.9633488729842425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9694750029951739,0.9651564667085467,0.9644315116852519,0.9634768840246644,0.9633488729842425,0.9675645113330904,0.9676062842868545,0.9675635945060485,0.9675322772284628,0.9682273303752215,0.968566746791929,0.9689841072992725,0.968874038587536,0.9712481609641727,0.9722356598986611,0.971873072952396,0.9719213340879226,0.9755288262268511,0.9756114437747907,0.9753988448206968,0.9749903664254819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
294,1,3,bus_33998182_002,B,Time_58,0.9728097223989389,Time_44,0.959503953380821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9660868266186408,0.9613379796133186,0.9605894916403012,0.959629178831362,0.959503953380821,0.963958162304386,0.9640093040703426,0.9639783204545297,0.963930646264361,0.964725340716701,0.9650784120401246,0.9654911329570216,0.9653651889145745,0.9680189018060785,0.9690378449288211,0.9686622130399171,0.9687265631636142,0.9727229449866718,0.9728097223989389,0.9725985431014391,0.9721764210120669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
295,1,3,bus_33998182_003,B,Time_58,0.9742591668100924,Time_44,0.961704224697326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9679069713877988,0.963671561630589,0.9629610584674742,0.9618798741442693,0.961704224697326,0.9660987613691033,0.9660026550406664,0.9661613274168711,0.9660129856351496,0.9668174745144417,0.9672581188358587,0.9676680096274713,0.9674110093057621,0.9698788016188359,0.9708893716753845,0.9704396350084846,0.9704948521308153,0.9741093902061864,0.9742591668100924,0.974048916389013,0.9735853136904385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
296,1,3,bus_33998182_015,B,TBD,0,TBD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
297,1,3,bus_33998182_016,B,Time_58,0.9727541362958155,Time_44,0.9594194054845102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9659900131880064,0.9612602378994973,0.9604964472928915,0.959544585639014,0.9594194054845102,0.963875068293913,0.9639470974434196,0.9639062184039711,0.9638603218437384,0.9646671728010349,0.965019708942252,0.9654281162007343,0.9652995182599361,0.9679288198849149,0.9689725045875062,0.9685861762353196,0.968662141937802,0.9726687933352988,0.9727541362958155,0.9725377793978052,0.9721008174544217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
