Nome_ID,Case,Simulation,Barras,Fase,Time_0,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Time_17,Time_18,Time_19,Time_20,Time_21,Time_22,Time_23,Time_24,Time_25,Time_26,Time_27,Time_28,Time_29,Time_30,Time_31,Time_32,Time_33,Time_34,Time_35,Time_36,Time_37,Time_38,Time_39,Time_40,Time_41,Time_42,Time_43,Time_44,Time_45,Time_46,Time_47,Time_48,Time_49,Time_50,Time_51,Time_52,Time_53,Time_54,Time_55,Time_56,Time_57,Time_58,Time_59,Time_60,Time_61,Time_62,Time_63,Time_64,Time_65,Time_66,Time_67,Time_68,Time_69,Time_70,Time_71,Time_72,Time_73,Time_74,Time_75,Time_76,Time_77,Time_78,Time_79,Time_80,Time_81,Time_82,Time_83,Time_84,Time_85,Time_86,Time_87,Time_88,Time_89,Time_90,Time_91,Time_92,Time_93,Time_94,Time_95,
1,1,1,bus_xfmr_pri_33998182,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0017634672372895837,-0.0015442081417276047,-0.0017374263514316455,-0.0021168696387387333,-0.0021537705489884564,-0.0018969207857397466,-0.002067699022738701,-0.0016959928820444983,-0.0020130889405368395,-0.0017124703803295977,-0.0014220284667565268,-0.00142060719336333,-0.0016828343783205995,-0.0019176241943437017,-0.001680580892714574,-0.0018358009362009588,-0.0017422315593376226,-0.0018939991603387203,-0.0017750489884683551,-0.0017309015182938323,-0.001827375149815156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,1,1,bus_xfmr_sec_33998182,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.801235776525388,-29.739693121576327,-29.767640184024835,-29.850470193755665,-29.855538067641902,-29.83906233700921,-29.872235848754055,-29.809436322459415,-29.864958413831957,-29.83133382812557,-29.783048724902013,-29.780222593263577,-29.80980119482971,-29.874463656642256,-29.852486890767512,-29.86470852494145,-29.857793034279663,-29.93529294841562,-29.91814954781333,-29.90497389337658,-29.90596816789321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,1,1,bus_33998182_001,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.789342634001056,-29.726892915300574,-29.75582229603206,-29.843611866289802,-29.849603400053986,-29.828606991822472,-29.86441418743378,-29.79673396037565,-29.855929302159492,-29.818993135942115,-29.767607990486393,-29.764805327053995,-29.797271754222773,-29.861353422502663,-29.838068432463018,-29.852043730729896,-29.844712275895937,-29.922520526012082,-29.90392786722896,-29.89034253207884,-29.892267925902285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,1,1,bus_33998182_013,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,1,bus_33998182_006,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.713609289040807,-29.649688505899697,-29.682605234639762,-29.77524221672796,-29.779513443131417,-29.761753197823083,-29.79986971377661,-29.7297916908882,-29.792306843172945,-29.75472176499642,-29.699752101613473,-29.695908431162188,-29.72895717766145,-29.802928034986753,-29.77754299197935,-29.78982198615007,-29.781741012615978,-29.868590131895346,-29.84934476503158,-29.833500347289608,-29.833082143465674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,1,1,bus_33998182_014,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.789342671125617,-29.726892952406047,-29.755822333135804,-29.84361190339061,-29.849603437152933,-29.82860702893688,-29.86441422455684,-29.79673399749507,-29.85592933927954,-29.818993173067916,-29.767608027610137,-29.764805364175864,-29.797271791348475,-29.8613534596427,-29.838068469605382,-29.852043767870384,-29.84471231303741,-29.922520563176487,-29.903927904391566,-29.890342569239436,-29.892267963059744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,1,1,bus_33998182_002,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.785371151586972,-29.723941456272495,-29.75362235098208,-29.84277563313787,-29.848656025391882,-29.826870731639833,-29.863475507734737,-29.79471300597317,-29.854958367812014,-29.817213629219,-29.764805174301667,-29.76174351984855,-29.794745033989248,-29.859288620973256,-29.835440032825886,-29.849449302627978,-29.841926888359072,-29.919941634205664,-29.90099840437189,-29.887024803003538,-29.888748862630447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,1,1,bus_33998182_003,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.779236340509755,-29.714251822690187,-29.74344929448486,-29.835839474342603,-29.84317592895686,-29.81737827559688,-29.855530388220053,-29.78297707043019,-29.84552516149081,-29.805381783085522,-29.751352074820115,-29.74892543007913,-29.78441334047517,-29.847126386411308,-29.822901039167625,-29.83909991759586,-29.831485085576233,-29.909415825981597,-29.889415929936433,-29.875818818522095,-29.87921769929471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,1,1,bus_33998182_015,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.782659375552683,-29.721281951121234,-29.750991848959465,-29.84019205013604,-29.846069692063825,-29.824244817094186,-29.860866128668942,-29.79207234265666,-29.852352228036573,-29.814573869133522,-29.76213286961662,-29.759064291487316,-29.79208003903738,-29.856629903796193,-29.83275689024382,-29.846769471788544,-29.839238212337897,-29.917238029073054,-29.89828469403652,-29.884299797824628,-29.88602072474074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,1,1,bus_33998182_016,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
