Nome_ID,Case,Simulation,Elementos,Fase,Time_0,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Time_17,Time_18,Time_19,Time_20,Time_21,Time_22,Time_23,Time_24,Time_25,Time_26,Time_27,Time_28,Time_29,Time_30,Time_31,Time_32,Time_33,Time_34,Time_35,Time_36,Time_37,Time_38,Time_39,Time_40,Time_41,Time_42,Time_43,Time_44,Time_45,Time_46,Time_47,Time_48,Time_49,Time_50,Time_51,Time_52,Time_53,Time_54,Time_55,Time_56,Time_57,Time_58,Time_59,Time_60,Time_61,Time_62,Time_63,Time_64,Time_65,Time_66,Time_67,Time_68,Time_69,Time_70,Time_71,Time_72,Time_73,Time_74,Time_75,Time_76,Time_77,Time_78,Time_79,Time_80,Time_81,Time_82,Time_83,Time_84,Time_85,Time_86,Time_87,Time_88,Time_89,Time_90,Time_91,Time_92,Time_93,Time_94,Time_95,
723,1,3,Load.C24,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0113802,0.00803813,0.0100712,0.00900445,0.00897186,0.00922211,0.00670317,0.00774277,0.00762206,0.00631033,0.00630862,0.00676093,0.0071384,0.0107962,0.00754054,0.0089143,0.00746158,0.00680814,0.00697977,0.00757417,0.00943716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,1,3,Load.C25,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51098,1.59895,1.73482,1.9686,1.94363,1.84909,1.99872,1.79999,1.9922,1.85165,1.66687,1.62243,1.72479,1.87603,1.76173,1.77195,1.73201,1.83425,1.76916,1.70087,1.67025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,1,3,Load.C26,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35349,1.30617,1.43586,1.82661,1.89449,1.65873,1.46813,1.42572,1.56298,1.40172,1.33863,1.3809,1.29637,1.41039,1.31878,1.3619,1.33251,1.33092,1.3518,1.35869,1.41053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,1,3,Load.C27,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00557687,0.00392744,0.00492172,0.0043991,0.00438257,0.00451257,0.00327975,0.0037891,0.00372966,0.00308935,0.00308845,0.00330957,0.00349479,0.00529797,0.00369923,0.00437344,0.00366043,0.00334774,0.00343234,0.00372486,0.00464119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,1,3,PVSystem.PV_0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2872,30.2677,30.2705,30.2546,30.2497,28.0878,28.0837,28.101,28.0881,27.4967,27.4998,27.5038,27.4906,24.6998,24.6992,24.6999,24.6976,21.3041,21.2961,21.2966,21.3068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,1,3,PVSystem.PV_1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4279,33.6209,33.526,33.3555,33.3435,31.2365,31.2146,31.259,31.2508,30.6341,30.6579,30.7407,30.7258,27.594,27.7133,27.7062,27.6961,23.9375,23.9352,23.9324,23.9227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,1,3,PVSystem.PV_2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.484,33.6654,33.5711,33.4065,33.3969,31.2901,31.264,31.305,31.2954,30.6748,30.6988,30.7858,30.7684,27.6317,27.7508,27.7437,27.7339,23.9687,23.9677,23.966,23.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,1,3,PVSystem.PV_3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2241,30.2058,30.2082,30.1984,30.1997,28.0304,28.0316,28.0475,28.0368,27.4415,27.4437,27.4467,27.4318,24.6501,24.6486,24.6476,24.6449,21.2626,21.2545,21.2542,21.2634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,1,3,PVSystem.PV_4,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0167,30.0499,30.077,30.1023,30.1025,27.8725,27.867,27.8697,27.8747,27.2524,27.2391,27.2307,27.2375,24.4676,24.4422,24.4535,24.4502,21.068,21.0675,21.0725,21.0803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,1,3,PVSystem.PV_5,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5819,31.6702,31.64,31.6155,31.6217,29.4878,29.4587,29.4455,29.4452,28.7977,28.8299,28.8639,28.8483,25.9407,25.9705,25.9671,25.9591,22.3941,22.3959,22.3936,22.3977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
