Nome_ID,Simulation,Name,V_pu_max_a,V_pu_max_b,V_pu_max_c,V_pu_min_a,V_pu_min_b,V_pu_min_c,Deseq_IEC,Deseq_IEEE,Deseq_NEMA,
1,1,bus_xfmr_pri_33998182,0.9999816625288911,0.9999864169121062,0.9999825670900823,0.999931257714402,0.9999533479565914,0.9999301832068269,0.001803303889699123,0.0017044462961940652,0,
2,1,bus_xfmr_sec_33998182,0.9962213272356657,0.99860605298864,0.9964296399965507,0.9856081469085725,0.9949303699320915,0.9842052227192472,0.3758953888337158,0.7132356710734511,0,
3,1,bus_33998182_001,0.9953458466407695,0.9978781914951242,0.9957846631889812,0.982981935222232,0.9933551987609254,0.9824772890870662,0.3950602125657943,0.729107067077584,0,
4,1,bus_33998182_013,0.996429640033164,0.0038849608774046375,0,0.9842052227552764,0.0006642572609203316,0,0,0,99.86673196847283,
5,1,bus_33998182_006,0.994989275963906,0.9975814487687593,0.9950599937142657,0.9792985488819584,0.9910195319124665,0.976847439589796,72051.69987945304,0.9689899318869163,101.08564345526057,
6,1,bus_33998182_014,0.9953458470053883,0.9978781917367969,0.9957846633759031,0.9829819355844736,0.9933551990017683,0.9824772892692881,80124.9402817408,0.729107070285446,101.40589633247738,
7,1,bus_33998182_002,0.9951504184856469,0.9977410230703521,0.9957563750652385,0.9820828469390729,0.9928710989647667,0.9823553986948336,78339.51972931885,0.7151641013163965,101.33193532059073,
8,1,bus_33998182_003,0.9944786683018293,0.9971210553169322,0.9949893414777761,0.9807893270736509,0.9919664948333049,0.9804081509088488,77217.0330035819,0.7683118123075594,101.1176372705463,
9,1,bus_33998182_015,0.9951059614913857,0.0035315313010641893,0,0.9818789352111451,0.0005751092957054896,0,0,0,99.8844730902444,
10,1,bus_33998182_016,0.9977167722227237,0.9957262989679603,0.0034155465545897424,0.9927055707905269,0.9822273690911795,0.0005510105927843869,0,1.0714760928825682,101.78605313659952,
11,1,bus_33998182_004,0.9948592208611069,0.9974427071667292,0.9957682797740313,0.9807415576902345,0.992102735911927,0.9824047404026419,118.17241854480346,0.740912803074785,101.65929328097727,
12,1,bus_33998182_005,0.9943142293968016,0.9970860857608163,0.9948370405174085,0.9798652381322662,0.9918641066049273,0.9794283861477588,118.07430526989916,0.8196653084997075,101.57159127504679,
13,1,bus_33998182_017,0.9941077069908041,0.9967427824745829,0.9946327142588308,0.9800491069888397,0.9910823465312174,0.9797190065753955,118.07864766858864,0.7686678564844396,101.45039299011425,
14,1,bus_33998182_018,0.994771562130733,0.0037338805990345084,0,0.9803390201699334,0.0006164529416699086,0,0,0,99.87613576365355,
15,1,bus_33998182_019,0.9973357486254383,0.9957688570354837,0.0036599731851736867,0.9918272567279879,0.9824076243491587,0.0006084560966137804,0,0.9987497313556897,101.88564205483002,
16,1,bus_33998182_020,0.9943029652650897,0.9970689828903402,0.9948268246414327,0.9798084647058837,0.9918172938500388,0.979374705392805,103.4613549338721,0.8196890431441897,101.84100910830709,
17,1,bus_33998182_021,0.9942481739518421,0.9947718025581516,0.002407831989454467,0.9794848214144883,0.9789931430478277,0.00036347121449171094,0,0.4151514251522334,100.48358621044522,
18,1,bus_33998182_022,0.9975587430738153,0.0021797087423514453,0,0.9908607273908432,0.00039357040548509547,0,0,0,99.92109994916662,
19,1,bus_33998182_007,0.9942177555737112,0.9971728953339937,0.9942078049337131,0.9752717702370799,0.9888976896615104,0.972209575904551,119.18705203875548,1.1471662570552335,99.84568543297742,
20,1,bus_33998182_023,0.9975811810514806,0.9950601818228137,0.002070412936584272,0.9910179456782079,0.9768484530029524,0.00036345462980436175,0,1.4521128435681938,99.92705611100153,
21,1,bus_33998182_008,0.9939595836896173,0.9967338074384132,0.9933687589227866,0.9739323718374839,0.9868039461319968,0.9671195380240506,135.58591656058672,1.3538969808560866,99.76476231158958,
22,1,bus_33998182_009,0.9939180368063993,0.9971149022094827,0.9940326360881974,0.9737057330401078,0.988445056916997,0.9714975352334357,135.71957278463904,1.1690748600018743,99.83166042070974,
23,1,bus_33998182_010,0.9941298128335039,0.9971783085868805,0.9942103787516579,0.9748109135890995,0.9889237998946029,0.9722196114608879,135.70388906514103,1.147863114656382,99.84668066132697,
24,1,bus_33998182_024,0.9966681204123604,0.9932885522608851,0.0034446761349466145,0.986491205412201,0.9665685587353766,0.0005156657386400736,0,2.0589691446813094,99.75267787831952,
25,1,bus_33998182_011,0.9936226341806639,0.9967231393562159,0.992569322075152,0.9721863700341405,0.986749238269788,0.9625292104366856,167.1014970464921,1.6238620907817405,99.7626878697161,
26,1,bus_33998182_025,0.9966603785773043,0.0029060291488831346,0,0.9864542701107615,0.0004565412043634511,0,0,0,99.90841375588761,
27,1,bus_33998182_026,0.9939146842683921,0.9970912917967998,0.0006493253589239848,0.9736970506376602,0.9882789065037414,9.834348556423361E-05,0,1.4748392945107491,100.09748502830298,
28,1,bus_33998182_027,0.9940056328781809,0.0006216275034916825,0,0.9713776442985849,8.17851568651878E-05,0,0,0,99.98354207203955,
29,1,bus_33998182_012,0.9933446712062721,0.9970214174156898,0.9937714227236747,0.9706813396220665,0.9877067892492501,0.9705315844600084,321.5280441861784,1.193294701082118,103.89609964019616,
30,1,bus_33998182_028,0.9938430586745497,0.0010827417569612017,0,0.9733121059517104,0.00018404519691838942,0,0,0,99.96296978297643,
31,1,bus_33998182_029,0.9939838799472457,0.0006225395817945935,0,0.9712805006781328,6.461482594936672E-05,0,0,0,99.98693112237945,
