hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
13, 1800.00000, 0.119894, 0.0746101, 0.120313, 0.0744124, -8.39403E-005, -0.000244727
13, 2700.00000, 0.106405, 0.0661863, 0.106751, 0.0660397, -6.57353E-005, -0.000194435
14, 0.00000, 0.112818, 0.0701883, 0.113191, 0.0700164, -7.3646E-005, -0.000216178
14, 900.00000, 0.108444, 0.0674579, 0.108797, 0.0673038, -6.78206E-005, -0.000200346
14, 1800.00000, 0.107941, 0.0671484, 0.108299, 0.0669952, -6.74116E-005, -0.000202433
14, 2700.00000, 0.111136, 0.0691397, 0.111502, 0.0689732, -7.16452E-005, -0.000210842
15, 0.00000, 0.112174, 0.069784, 0.11254, 0.0696153, -7.27968E-005, -0.000211591
15, 900.00000, 0.119719, 0.0744916, 0.120125, 0.0742985, -8.28207E-005, -0.000236492
15, 1800.00000, 0.122585, 0.0762869, 0.12303, 0.0760906, -8.71258E-005, -0.000251377
15, 2700.00000, 0.128937, 0.0802477, 0.129405, 0.0800269, -9.59302E-005, -0.00026997
16, 0.00000, 0.124021, 0.0771829, 0.124475, 0.076983, -8.88662E-005, -0.000256552
16, 900.00000, 0.136924, 0.0852505, 0.137469, 0.0850009, -0.000108661, -0.000312721
16, 1800.00000, 0.147727, 0.092008, 0.148356, 0.0917163, -0.00012661, -0.000361869
16, 2700.00000, 0.127742, 0.0795202, 0.128243, 0.0793055, -9.58596E-005, -0.000281486
17, 0.00000, 0.170651, 0.106373, 0.171485, 0.105971, -0.000171761, -0.000488141
17, 900.00000, 0.224614, 0.140217, 0.225974, 0.139523, -0.000297464, -0.000800197
17, 1800.00000, 0.314476, 0.196891, 0.31725, 0.195575, -0.000595947, -0.00156449
17, 2700.00000, 0.372834, 0.23395, 0.376869, 0.232069, -0.000854797, -0.00226321
18, 0.00000, 0.45261, 0.284719, 0.458519, 0.28196, -0.00126556, -0.00329405
18, 900.00000, 0.430047, 0.270399, 0.435589, 0.267955, -0.00113804, -0.003028
18, 1800.00000, 0.385571, 0.242119, 0.390066, 0.240135, -0.00091245, -0.00247529
18, 2700.00000, 0.390724, 0.245425, 0.395342, 0.243347, -0.000940022, -0.0025732
19, 0.00000, 0.355622, 0.223151, 0.359507, 0.221418, -0.00078156, -0.00216365
19, 900.00000, 0.346564, 0.217394, 0.350248, 0.215751, -0.00073813, -0.00204805
19, 1800.00000, 0.343982, 0.215744, 0.347573, 0.214116, -0.000726057, -0.0020129
19, 2700.00000, 0.344366, 0.215946, 0.34787, 0.214305, -0.00072573, -0.0019809
20, 0.00000, 0.327959, 0.205546, 0.331191, 0.204091, -0.000656401, -0.00179741
20, 900.00000, 0.349623, 0.219236, 0.353152, 0.21755, -0.000746418, -0.00200935
20, 1800.00000, 0.332005, 0.208082, 0.335273, 0.206599, -0.000672589, -0.00181907
20, 2700.00000, 0.301304, 0.188634, 0.30396, 0.187408, -0.000550189, -0.00149429
