hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
12, 2700.00000, 0.0327332, 0.0202908, 0.0326668, 0.0202823, 5.08903E-006, -3.83977E-005
13, 0.00000, 0.0383952, 0.0238029, 0.0383172, 0.023789, 8.03766E-006, -4.49712E-005
13, 900.00000, 0.0427958, 0.0265244, 0.0427104, 0.0265188, 3.46896E-006, -4.93404E-005
13, 1800.00000, 0.0794544, 0.0492518, 0.0792873, 0.0492302, 1.21814E-005, -9.62009E-005
13, 2700.00000, 0.0472913, 0.0293112, 0.0471946, 0.0293048, 3.97169E-006, -5.58817E-005
14, 0.00000, 0.0614648, 0.0380998, 0.0613403, 0.0380846, 8.72087E-006, -7.17956E-005
14, 900.00000, 0.0464173, 0.0287712, 0.0463231, 0.0287621, 5.41588E-006, -5.44035E-005
14, 1800.00000, 0.0389771, 0.0241563, 0.0388919, 0.024153, 1.98232E-006, -4.91698E-005
14, 2700.00000, 0.0410058, 0.0254161, 0.040918, 0.025409, 4.12864E-006, -5.06448E-005
15, 0.00000, 0.0476688, 0.0295489, 0.0475721, 0.0295364, 7.33951E-006, -5.57601E-005
15, 900.00000, 0.0665936, 0.041287, 0.066464, 0.0412588, 1.62084E-005, -7.46529E-005
15, 1800.00000, 0.0475295, 0.0294646, 0.0474253, 0.029449, 9.05916E-006, -6.00658E-005
15, 2700.00000, 0.0354579, 0.0219852, 0.0353811, 0.0219676, 1.02339E-005, -4.42545E-005
16, 0.00000, 0.0347368, 0.021534, 0.0346583, 0.0215225, 6.74951E-006, -4.52879E-005
16, 900.00000, 0.0322887, 0.0200171, 0.0322072, 0.0200048, 7.00079E-006, -4.68654E-005
16, 1800.00000, 0.0376931, 0.0233697, 0.0375935, 0.0233521, 1.01685E-005, -5.72936E-005
16, 2700.00000, 0.0616339, 0.0382012, 0.0614833, 0.0381913, 6.25458E-006, -8.71681E-005
17, 0.00000, 0.0719361, 0.044602, 0.0717196, 0.0445635, 2.13336E-005, -0.000124079
17, 900.00000, 0.0707629, 0.0439104, 0.0705266, 0.0438191, 5.17191E-005, -0.000135169
17, 1800.00000, 0.144599, 0.0898067, 0.143995, 0.0895031, 0.000176289, -0.000346729
17, 2700.00000, 0.197777, 0.122855, 0.196748, 0.122403, 0.000263077, -0.000591135
18, 0.00000, 0.162268, 0.100886, 0.161257, 0.100378, 0.000296301, -0.000579295
18, 900.00000, 0.117193, 0.0728153, 0.116427, 0.0725199, 0.000174589, -0.000440657
18, 1800.00000, 0.150945, 0.0937333, 0.15004, 0.0934346, 0.000178588, -0.000522682
18, 2700.00000, 0.14303, 0.0887993, 0.142112, 0.0885374, 0.000153357, -0.000527397
19, 0.00000, 0.207469, 0.128761, 0.206277, 0.128457, 0.000182507, -0.000688534
19, 900.00000, 0.167124, 0.103714, 0.166159, 0.103482, 0.00013817, -0.000556224
19, 1800.00000, 0.159842, 0.0991945, 0.158925, 0.0989704, 0.000132087, -0.000528125
19, 2700.00000, 0.168443, 0.104565, 0.167538, 0.104282, 0.000166001, -0.00052058
20, 0.00000, 0.149668, 0.0928952, 0.148888, 0.0926694, 0.000133796, -0.000450183
20, 900.00000, 0.159967, 0.0993289, 0.159129, 0.0990196, 0.000179135, -0.000480748
20, 1800.00000, 0.156795, 0.0973397, 0.156005, 0.0970713, 0.000158427, -0.000454961
20, 2700.00000, 0.140602, 0.0872686, 0.139954, 0.0870547, 0.000125053, -0.000373023
21, 0.00000, 0.105741, 0.065627, 0.105249, 0.0654735, 9.02257E-005, -0.000283436
21, 900.00000, 0.128823, 0.0799364, 0.128274, 0.0797746, 9.58036E-005, -0.000316626
21, 1800.00000, 0.177196, 0.109953, 0.176501, 0.109729, 0.000131088, -0.00040047
21, 2700.00000, 0.132484, 0.082198, 0.131955, 0.0820491, 8.76504E-005, -0.000305228
22, 0.00000, 0.10558, 0.0654987, 0.105173, 0.0653906, 6.38889E-005, -0.000234822
22, 900.00000, 0.0970756, 0.0602059, 0.0966977, 0.0601304, 4.47E-005, -0.000218049
22, 1800.00000, 0.0886296, 0.0549663, 0.0883181, 0.0549011, 3.88929E-005, -0.00017993
22, 2700.00000, 0.0898993, 0.0557635, 0.0896029, 0.0556828, 4.72264E-005, -0.00017093
23, 0.00000, 0.0560697, 0.0347702, 0.0559073, 0.0347353, 2.10891E-005, -9.40348E-005
23, 900.00000, 0.0437718, 0.0271429, 0.0436445, 0.0271163, 1.55835E-005, -7.3475E-005
23, 1800.00000, 0.0366577, 0.0227285, 0.036553, 0.0227105, 1.06078E-005, -6.0402E-005
23, 2700.00000, 0.0406663, 0.0252143, 0.0405621, 0.0251944, 1.17776E-005, -6.01956E-005
24, 0.00000, 0.0322918, 0.0200205, 0.0322275, 0.0200075, 7.89894E-006, -3.72651E-005
