hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
19, 0.00000, 0.498262, 0.306542, -0.00109008, 0.00157622
19, 900.00000, 0.478479, 0.294409, -0.000978459, 0.00152211
19, 1800.00000, 0.470246, 0.28936, -0.000948706, 0.00148594
19, 2700.00000, 0.426946, 0.262789, -0.000890025, 0.00126431
20, 0.00000, 0.413778, 0.254749, -0.000804307, 0.00119239
20, 900.00000, 0.391955, 0.241266, -0.00083345, 0.00113279
20, 1800.00000, 0.389049, 0.239544, -0.000781741, 0.0010834
20, 2700.00000, 0.358735, 0.22101, -0.000647773, 0.000912298
21, 0.00000, 0.342572, 0.211066, -0.000580419, 0.000882932
21, 900.00000, 0.34237, 0.211035, -0.000552637, 0.000804601
21, 1800.00000, 0.348581, 0.214921, -0.000585237, 0.000748281
21, 2700.00000, 0.333572, 0.205684, -0.000506512, 0.000732715
22, 0.00000, 0.311011, 0.191822, -0.000430083, 0.000660694
22, 900.00000, 0.326619, 0.201464, -0.000413644, 0.000698686
22, 1800.00000, 0.294121, 0.181502, -0.000342545, 0.000568547
22, 2700.00000, 0.265387, 0.163798, -0.000314979, 0.000481662
23, 0.00000, 0.23053, 0.14237, -0.000213709, 0.000369017
23, 900.00000, 0.224271, 0.13851, -0.000197233, 0.000359858
23, 1800.00000, 0.224595, 0.138725, -0.000181386, 0.000353215
23, 2700.00000, 0.203234, 0.125572, -0.000155578, 0.000286937
24, 0.00000, 0.15805, 0.0977184, -9.71094E-005, 0.000173888
