hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
13, 2700.00000, 1.99355, 1.57909, 2.06532, 1.08554, 2.45688, 1.39443, 0, 0
14, 0.00000, 2.14144, 1.64952, 2.24485, 1.18966, 2.59141, 1.50911, 0, 0
14, 900.00000, 2.05091, 1.60917, 2.13853, 1.12474, 2.51426, 1.4428, 0, 0
14, 1800.00000, 2.10586, 1.68791, 2.15816, 1.13719, 2.60898, 1.4578, 0, 0
14, 2700.00000, 2.00766, 1.60731, 2.08982, 1.08567, 2.50051, 1.4176, 0, 0
15, 0.00000, 1.98249, 1.5576, 2.0934, 1.0868, 2.44568, 1.41822, 0, 0
15, 900.00000, 2.08654, 1.58014, 2.24786, 1.17369, 2.5192, 1.51658, 0, 0
15, 1800.00000, 2.03397, 1.61456, 2.16687, 1.10822, 2.53894, 1.47645, 0, 0
15, 2700.00000, 1.88153, 1.50747, 2.06917, 1.02014, 2.3974, 1.42626, 0, 0
16, 0.00000, 2.01882, 1.6274, 2.15315, 1.08834, 2.55284, 1.47415, 0, 0
16, 900.00000, 2.13825, 1.74829, 2.28867, 1.14218, 2.73838, 1.57545, 0, 0
16, 1800.00000, 2.24155, 1.82364, 2.42292, 1.20308, 2.86967, 1.67037, 0, 0
16, 2700.00000, 2.22996, 1.78794, 2.31892, 1.20581, 2.7786, 1.57386, 0, 0
17, 0.00000, 2.4828, 2.00903, 2.68951, 1.33938, 3.1661, 1.85315, 0, 0
17, 900.00000, 2.40118, 1.95097, 2.85694, 1.30026, 3.19259, 2.02022, 0, 0
17, 1800.00000, 3.04301, 2.3817, 3.7897, 1.70167, 4.00523, 2.68819, 0, 0
17, 2700.00000, 3.65171, 2.89816, 4.47893, 2.02614, 4.82046, 3.17834, 0, 0
18, 0.00000, 3.64244, 3.03504, 4.75144, 1.96481, 5.12371, 3.46007, 0, 0
18, 900.00000, 3.63141, 3.17662, 4.55243, 1.88173, 5.2133, 3.32652, 0, 0
18, 1800.00000, 3.92726, 3.29057, 4.6709, 2.0963, 5.33334, 3.3372, 0, 0
18, 2700.00000, 3.97833, 3.41735, 4.66773, 2.08225, 5.47927, 3.34656, 0, 0
19, 0.00000, 4.20741, 3.42196, 4.78555, 2.28757, 5.4789, 3.3552, 0, 0
19, 900.00000, 3.94032, 3.29462, 4.48537, 2.09817, 5.24902, 3.16818, 0, 0
19, 1800.00000, 3.85508, 3.23812, 4.39855, 2.0454, 5.15977, 3.11219, 0, 0
19, 2700.00000, 3.66398, 3.01646, 4.29067, 1.97469, 4.87952, 3.0381, 0, 0
20, 0.00000, 3.44885, 2.88077, 4.0214, 1.83669, 4.63934, 2.85438, 0, 0
20, 900.00000, 3.40095, 2.80696, 4.10024, 1.83143, 4.59541, 2.92461, 0, 0
20, 1800.00000, 3.30112, 2.72861, 3.9371, 1.77313, 4.44657, 2.80146, 0, 0
20, 2700.00000, 3.07121, 2.53414, 3.63161, 1.64874, 4.11818, 2.5766, 0, 0
21, 0.00000, 2.80163, 2.40403, 3.34006, 1.45981, 3.88857, 2.39807, 0, 0
21, 900.00000, 2.91383, 2.40331, 3.38643, 1.56135, 3.87929, 2.39148, 0, 0
21, 1800.00000, 3.01685, 2.3668, 3.4882, 1.67295, 3.85341, 2.42796, 0, 0
21, 2700.00000, 2.79295, 2.28611, 3.21725, 1.50261, 3.68364, 2.2617, 0, 0
22, 0.00000, 2.57797, 2.15424, 2.96613, 1.36487, 3.45568, 2.0956, 0, 0
22, 900.00000, 2.56023, 2.17816, 2.8677, 1.33436, 3.44474, 2.02243, 0, 0
22, 1800.00000, 2.43741, 2.04258, 2.72523, 1.28415, 3.23816, 1.91254, 0, 0
22, 2700.00000, 2.26468, 1.8776, 2.59896, 1.20387, 3.01529, 1.83015, 0, 0
23, 0.00000, 2.00575, 1.69271, 2.24656, 1.04915, 2.68351, 1.57942, 0, 0
23, 900.00000, 1.86871, 1.6185, 2.09818, 0.95748, 2.55591, 1.48666, 0, 0
23, 1800.00000, 1.92706, 1.66243, 2.11588, 0.989242, 2.60448, 1.4893, 0, 0
23, 2700.00000, 1.74926, 1.49303, 1.93625, 0.905096, 2.35193, 1.36096, 0, 0
24, 0.00000, 1.557, 1.28298, 1.70951, 0.825948, 2.02906, 1.18651, 0, 0
