hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
19, 900.00000, 0.392968, 0.246264, 0.00167701, -0.00196077
19, 1800.00000, 0.386227, 0.24201, 0.00163214, -0.00190907
19, 2700.00000, 0.350659, 0.219702, 0.00145826, -0.00170946
20, 0.00000, 0.339921, 0.212864, 0.00134498, -0.00157855
20, 900.00000, 0.32188, 0.201679, 0.00134091, -0.00157313
20, 1800.00000, 0.319567, 0.200128, 0.00126568, -0.00148779
20, 2700.00000, 0.294814, 0.184438, 0.00105426, -0.00124205
21, 0.00000, 0.281577, 0.176126, 0.000984984, -0.00116006
21, 900.00000, 0.281495, 0.175948, 0.000910877, -0.00107478
21, 1800.00000, 0.286616, 0.1791, 0.000899117, -0.00106564
21, 2700.00000, 0.274336, 0.171377, 0.000828982, -0.000980532
22, 0.00000, 0.255852, 0.159755, 0.000726594, -0.000859267
22, 900.00000, 0.268745, 0.167745, 0.000732557, -0.000865594
22, 1800.00000, 0.242086, 0.151011, 0.000600493, -0.00070944
22, 2700.00000, 0.218433, 0.136242, 0.000529722, -0.000627772
23, 0.00000, 0.189846, 0.118283, 0.000383105, -0.000452642
23, 900.00000, 0.184703, 0.115065, 0.000364902, -0.000431453
23, 1800.00000, 0.184995, 0.115214, 0.000347944, -0.000409696
23, 2700.00000, 0.167432, 0.104236, 0.000288815, -0.000341242
24, 0.00000, 0.130263, 0.0810174, 0.000177317, -0.00020879
