hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
15, 2700.00000, 9.0903E-010, -9.55349E-007, -9.09167E-010, -5.87545E-010
16, 0.00000, 1.0016E-009, -9.55101E-007, -1.00159E-009, -5.33886E-010
16, 900.00000, 1.11217E-009, -9.54309E-007, -1.11188E-009, -5.92875E-010
16, 1800.00000, 1.14397E-009, -9.53549E-007, -1.14341E-009, -6.52524E-010
16, 2700.00000, 1.11783E-009, -9.54439E-007, -1.11752E-009, -5.10934E-010
17, 0.00000, 1.27465E-009, -9.52128E-007, -1.27468E-009, -7.47213E-010
17, 900.00000, 1.22272E-009, -9.50391E-007, -1.22213E-009, -1.11644E-009
17, 1800.00000, 1.36411E-009, -9.44911E-007, -1.36385E-009, -1.63465E-009
17, 2700.00000, 1.75725E-009, -9.41127E-007, -1.75754E-009, -1.90346E-009
18, 0.00000, 2.01119E-009, -9.38459E-007, -2.01142E-009, -2.41135E-009
18, 900.00000, 2.33221E-009, -9.39765E-007, -2.33208E-009, -2.21026E-009
18, 1800.00000, 2.2327E-009, -9.40101E-007, -2.2328E-009, -1.91111E-009
18, 2700.00000, 2.45703E-009, -9.40106E-007, -2.45663E-009, -1.89678E-009
19, 0.00000, 2.22811E-009, -9.40315E-007, -2.2279E-009, -1.6732E-009
19, 900.00000, 2.27354E-009, -9.41716E-007, -2.27296E-009, -1.62561E-009
19, 1800.00000, 2.25653E-009, -9.42121E-007, -2.25573E-009, -1.61641E-009
19, 2700.00000, 2.0107E-009, -9.42511E-007, -2.01042E-009, -1.67188E-009
20, 0.00000, 1.98863E-009, -9.43943E-007, -1.98904E-009, -1.57784E-009
20, 900.00000, 1.88003E-009, -9.43183E-007, -1.87981E-009, -1.74301E-009
20, 1800.00000, 1.84528E-009, -9.44206E-007, -1.84534E-009, -1.63456E-009
20, 2700.00000, 1.7095E-009, -9.46012E-007, -1.70925E-009, -1.47001E-009
21, 0.00000, 1.7559E-009, -9.47331E-007, -1.75528E-009, -1.44226E-009
21, 900.00000, 1.62469E-009, -9.47551E-007, -1.62496E-009, -1.3041E-009
21, 1800.00000, 1.44905E-009, -9.47316E-007, -1.44776E-009, -1.26147E-009
21, 2700.00000, 1.53422E-009, -9.48603E-007, -1.53425E-009, -1.20273E-009
22, 0.00000, 1.50571E-009, -9.49888E-007, -1.50578E-009, -1.12959E-009
22, 900.00000, 1.59008E-009, -9.5057E-007, -1.5899E-009, -1.02954E-009
22, 1800.00000, 1.43612E-009, -9.51447E-007, -1.43601E-009, -9.45623E-010
22, 2700.00000, 1.29012E-009, -9.5197E-007, -1.28993E-009, -9.71925E-010
23, 0.00000, 1.19546E-009, -9.54019E-007, -1.19515E-009, -7.84431E-010
23, 900.00000, 1.20573E-009, -9.5471E-007, -1.20529E-009, -7.67404E-010
23, 1800.00000, 1.22095E-009, -9.54784E-007, -1.22036E-009, -7.05209E-010
23, 2700.00000, 1.07961E-009, -9.55745E-007, -1.07945E-009, -6.5895E-010
24, 0.00000, 8.4792E-010, -9.57152E-007, -8.47197E-010, -5.24828E-010
