hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 900.00000, 0.189754, 0.117535, -5.12384E-005, -3.86513E-006
0, 1800.00000, 0.181486, 0.112418, -4.44423E-005, -3.82809E-006
0, 2700.00000, 0.166261, 0.102991, -3.80595E-005, -3.12704E-006
1, 0.00000, 0.157987, 0.0978694, -3.20989E-005, -3.10487E-006
1, 900.00000, 0.14875, 0.0921477, -2.81405E-005, -9.18234E-007
1, 1800.00000, 0.151768, 0.09402, -3.06377E-005, -5.05999E-006
1, 2700.00000, 0.13539, 0.083875, -2.11809E-005, 3.57059E-008
2, 0.00000, 0.139227, 0.0862533, -2.43337E-005, -3.0972E-006
2, 900.00000, 0.132959, 0.0823694, -2.21334E-005, -8.26292E-007
2, 1800.00000, 0.125537, 0.0777717, -1.82368E-005, 1.57891E-006
2, 2700.00000, 0.123464, 0.0764882, -1.86858E-005, 6.53738E-007
3, 0.00000, 0.129758, 0.0803889, -2.08444E-005, -2.29678E-006
3, 900.00000, 0.125894, 0.0779949, -1.85525E-005, -4.01074E-007
3, 1800.00000, 0.126765, 0.0785343, -2.0008E-005, -1.04063E-006
3, 2700.00000, 0.121416, 0.0752206, -1.62983E-005, 1.02374E-006
4, 0.00000, 0.116247, 0.0720186, -1.3571E-005, 2.13971E-006
4, 900.00000, 0.127504, 0.0789933, -1.80698E-005, -1.38495E-006
4, 1800.00000, 0.128706, 0.0797382, -1.90287E-005, -1.99127E-006
4, 2700.00000, 0.124821, 0.077331, -1.73919E-005, -1.12924E-006
5, 0.00000, 0.14035, 0.0869453, -2.60109E-005, 3.8808E-008
5, 900.00000, 0.161052, 0.0997587, -3.31609E-005, 5.69665E-006
5, 1800.00000, 0.233619, 0.144672, -8.46976E-005, 5.59311E-006
5, 2700.00000, 0.367134, 0.227291, -0.00022121, -3.47889E-005
6, 0.00000, 0.349439, 0.216423, -0.000187727, -9.95504E-005
6, 900.00000, 0.403668, 0.249999, -0.000256987, -0.000155474
6, 1800.00000, 0.236232, 0.146324, -8.46356E-005, -2.86422E-005
6, 2700.00000, 0.185085, 0.114646, -4.76437E-005, -4.17615E-006
7, 0.00000, 0.204313, 0.12656, -5.77785E-005, -1.63159E-005
7, 900.00000, 0.27731, 0.171764, -0.000117825, -5.40186E-005
7, 1800.00000, 0.284506, 0.176238, -0.000119797, -7.1525E-005
7, 2700.00000, 0.197387, 0.122276, -5.90914E-005, -2.24625E-005
8, 0.00000, 0.149141, 0.0923845, -2.73773E-005, 5.1211E-006
8, 900.00000, 0.150796, 0.0934082, -3.16016E-005, 4.4561E-006
8, 1800.00000, 0.143787, 0.089072, -3.12944E-005, -1.18985E-006
8, 2700.00000, 0.160962, 0.099707, -4.10765E-005, -3.42361E-006
9, 0.00000, 0.166328, 0.103025, -3.4813E-005, 5.95376E-006
9, 900.00000, 0.163619, 0.101353, -3.59419E-005, -8.31061E-007
9, 1800.00000, 0.192612, 0.119308, -5.41703E-005, -8.27749E-006
9, 2700.00000, 0.163893, 0.101513, -2.46834E-005, 1.68713E-005
10, 0.00000, 0.146912, 0.0909995, -2.89574E-005, 7.78389E-006
10, 900.00000, 0.170741, 0.105761, -2.49132E-005, 9.80896E-006
10, 1800.00000, 0.190668, 0.118107, -4.85825E-005, -7.63741E-006
10, 2700.00000, 0.217669, 0.13482, -5.74087E-005, -4.45489E-006
11, 0.00000, 0.261859, 0.162154, -9.72105E-005, 2.52829E-006
11, 900.00000, 0.257275, 0.15931, -9.23807E-005, 1.09262E-005
11, 1800.00000, 0.238893, 0.147947, -7.27746E-005, 3.69101E-006
11, 2700.00000, 0.266664, 0.165158, -0.000108049, -3.34688E-005
12, 0.00000, 0.229686, 0.142264, -7.22493E-005, -1.38842E-005
12, 900.00000, 0.265427, 0.164384, -0.00010089, -2.08948E-005
12, 1800.00000, 0.239316, 0.148229, -8.74385E-005, -2.53091E-005
12, 2700.00000, 0.203673, 0.126159, -6.1777E-005, -1.33797E-005
13, 0.00000, 0.1947, 0.120599, -5.61365E-005, -7.21226E-006
13, 900.00000, 0.214913, 0.133124, -6.8016E-005, -2.11711E-005
13, 1800.00000, 0.242685, 0.150316, -7.08969E-005, -1.60331E-005
13, 2700.00000, 0.221228, 0.137034, -7.14987E-005, -2.23482E-005
14, 0.00000, 0.223056, 0.138162, -6.53085E-005, -1.50763E-005
14, 900.00000, 0.215436, 0.133445, -6.68533E-005, -1.77963E-005
14, 1800.00000, 0.233971, 0.144925, -8.4751E-005, -3.0147E-005
14, 2700.00000, 0.221615, 0.137271, -7.53644E-005, -2.21739E-005
15, 0.00000, 0.208321, 0.129037, -6.24647E-005, -1.32049E-005
15, 900.00000, 0.202165, 0.12522, -5.00226E-005, -1.80711E-006
15, 1800.00000, 0.219014, 0.135654, -6.98477E-005, -1.258E-005
15, 2700.00000, 0.18987, 0.117601, -5.6004E-005, -1.23797E-006
16, 0.00000, 0.214407, 0.132799, -7.26272E-005, -1.32573E-005
16, 900.00000, 0.232874, 0.144229, -8.8848E-005, -1.62927E-005
16, 1800.00000, 0.241199, 0.149378, -9.2805E-005, -1.2397E-005
16, 2700.00000, 0.2689, 0.166546, -0.000103078, -3.27912E-005
17, 0.00000, 0.298675, 0.184951, -0.000125844, -1.87405E-005
17, 900.00000, 0.259927, 0.160927, -9.40633E-005, 3.44801E-005
17, 1800.00000, 0.328934, 0.203573, -0.000110544, 0.000104701
17, 2700.00000, 0.457566, 0.283097, -0.000210659, 0.000134672
18, 0.00000, 0.455222, 0.281552, -0.000243435, 0.000208752
18, 900.00000, 0.502538, 0.310835, -0.000359893, 0.000131165
18, 1800.00000, 0.529232, 0.327401, -0.000358486, 8.06002E-005
18, 2700.00000, 0.575781, 0.356178, -0.00045297, 3.68973E-005
19, 0.00000, 0.597967, 0.369959, -0.000403752, 1.3459E-005
19, 900.00000, 0.574322, 0.355352, -0.00041317, -4.77756E-006
19, 1800.00000, 0.564441, 0.34924, -0.000404323, -3.23412E-006
19, 2700.00000, 0.512354, 0.317024, -0.000306167, 5.35039E-005
20, 0.00000, 0.496583, 0.307288, -0.000302197, 3.36678E-005
20, 900.00000, 0.470264, 0.290978, -0.000253576, 8.58404E-005
20, 1800.00000, 0.46681, 0.288864, -0.000251194, 6.57375E-005
20, 2700.00000, 0.430479, 0.266418, -0.000215927, 4.86143E-005
21, 0.00000, 0.411138, 0.254458, -0.000223467, 3.60144E-005
21, 900.00000, 0.4109, 0.254334, -0.000199753, 2.67615E-005
21, 1800.00000, 0.418296, 0.258921, -0.000164205, 3.91345E-005
21, 2700.00000, 0.400361, 0.247831, -0.000183088, 1.78027E-005
22, 0.00000, 0.373324, 0.231111, -0.000173483, 9.17321E-006
22, 900.00000, 0.39212, 0.242755, -0.000202864, -2.07036E-005
22, 1800.00000, 0.353118, 0.218632, -0.00016208, -1.21804E-005
22, 2700.00000, 0.318573, 0.197248, -0.000125348, 8.50755E-006
23, 0.00000, 0.276777, 0.171396, -0.000106415, -5.94649E-006
23, 900.00000, 0.269269, 0.166749, -0.000107369, -9.00938E-006
23, 1800.00000, 0.269676, 0.167006, -0.000110909, -1.70653E-005
23, 2700.00000, 0.244024, 0.15113, -8.68431E-005, -9.95484E-006
24, 0.00000, 0.189769, 0.117545, -5.1248E-005, -3.86328E-006
