hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 900.00000, 125.85, -30.2, 0.0277891, -64.4055, 0.0510394, -61.9812, 0.0510394, 118.019
0, 1800.00000, 125.893, -30.1918, 0.0248977, -65.3788, 0.0483467, -61.9737, 0.0483467, 118.026
0, 2700.00000, 126, -30.1727, 0.0234233, -65.0331, 0.0476259, -61.9553, 0.0476259, 118.045
1, 0.00000, 126.021, -30.1701, 0.0205011, -66.1381, 0.0462723, -61.9531, 0.0462723, 118.047
1, 900.00000, 126.073, -30.1635, 0.0192288, -70.4833, 0.0489392, -61.9463, 0.0489392, 118.054
1, 1800.00000, 126.07, -30.1595, 0.0205579, -60.7784, 0.0469342, -61.9431, 0.0469342, 118.057
1, 2700.00000, 126.136, -30.1537, 0.0158053, -76.0146, 0.0469074, -61.937, 0.0469074, 118.063
2, 0.00000, 126.137, -30.1492, 0.0175683, -65.0267, 0.0455653, -61.9331, 0.0455653, 118.067
2, 900.00000, 126.158, -30.1499, 0.0169168, -70.4949, 0.0462208, -61.9332, 0.0462208, 118.067
2, 1800.00000, 126.194, -30.1462, 0.0150681, -80.8772, 0.0448648, -61.9293, 0.0448648, 118.071
2, 2700.00000, 126.199, -30.1462, 0.0155952, -75.3703, 0.0462052, -61.9295, 0.0462052, 118.071
3, 0.00000, 126.186, -30.1424, 0.0161697, -66.4651, 0.0468894, -61.9264, 0.0468894, 118.074
3, 900.00000, 126.193, -30.144, 0.0148808, -73.9289, 0.046886, -61.9276, 0.046886, 118.072
3, 1800.00000, 126.199, -30.1423, 0.0160191, -69.7984, 0.0468844, -61.926, 0.0468844, 118.074
3, 2700.00000, 126.217, -30.1411, 0.0138013, -81.3423, 0.0468763, -61.9245, 0.0468763, 118.075
4, 0.00000, 126.244, -30.1372, 0.0124913, -90.7679, 0.0461869, -61.9206, 0.0461869, 118.079
4, 900.00000, 126.219, -30.1338, 0.0140105, -73.3887, 0.0508852, -61.9178, 0.0508852, 118.082
4, 1800.00000, 126.173, -30.1453, 0.0147025, -69.5466, 0.0522457, -61.9292, 0.0522457, 118.071
4, 2700.00000, 126.223, -30.1345, 0.0138813, -73.7689, 0.0555711, -61.9187, 0.0555711, 118.081
5, 0.00000, 126.125, -30.1563, 0.0191636, -71.2585, 0.0569581, -61.9385, 0.0569581, 118.062
5, 900.00000, 126, -30.1822, 0.02202, -82.5517, 0.0536618, -61.9621, 0.0536618, 118.038
5, 1800.00000, 125.631, -30.2436, 0.0380523, -70.7464, 0.0430584, -62.0207, 0.0430584, 117.979
5, 2700.00000, 124.945, -30.3366, 0.0628728, -56.4037, 0.0270671, -62.1122, 0.0270671, 117.888
6, 0.00000, 124.875, -30.3326, 0.0617077, -36.6334, 0.0257269, -62.1179, 0.0257269, 117.882
6, 900.00000, 124.582, -30.3654, 0.0759847, -33.0289, 0.0515772, -62.1514, 0.0515772, 117.849
6, 1800.00000, 125.484, -30.2581, 0.0390815, -46.7783, 0.0693918, -62.0414, 0.0693918, 117.959
6, 2700.00000, 125.737, -30.2321, 0.0267383, -63.3089, 0.0692465, -62.0143, 0.0692465, 117.986
7, 0.00000, 125.637, -30.2384, 0.0297783, -51.9785, 0.0726621, -62.0215, 0.0726621, 117.979
7, 900.00000, 125.304, -30.2711, 0.0480241, -40.6087, 0.0870321, -62.0547, 0.0870321, 117.945
7, 1800.00000, 125.317, -30.2522, 0.0496278, -34.8028, 0.111981, -62.039, 0.111981, 117.961
7, 2700.00000, 125.711, -30.2185, 0.0337806, -45.1974, 0.14727, -62.0037, 0.14727, 117.996
8, 0.00000, 125.905, -30.2076, 0.0219208, -83.737, 0.303429, -61.9882, 0.303429, 118.012
8, 900.00000, 125.889, -30.2116, 0.0250461, -77.8399, 0.360534, -61.9915, 0.360534, 118.009
8, 1800.00000, 125.904, -30.2067, 0.025971, -66.0543, 0.406819, -61.9883, 0.406819, 118.012
8, 2700.00000, 125.866, -30.206, 0.0300443, -62.9013, 0.419048, -61.9869, 0.419048, 118.013
9, 0.00000, 125.829, -30.2147, 0.025637, -83.274, 0.437948, -61.9934, 0.437948, 118.007
9, 900.00000, 125.856, -30.2052, 0.0255093, -71.0275, 0.407652, -61.9861, 0.407652, 118.014
9, 1800.00000, 125.683, -30.2311, 0.0321226, -61.2269, 0.422351, -62.0113, 0.422351, 117.989
9, 2700.00000, 125.76, -30.2389, 0.0248527, -110.819, 0.429415, -62.0159, 0.429415, 117.984
10, 0.00000, 125.875, -30.2185, 0.0251775, -85.0084, 0.430403, -61.998, 0.430403, 118.002
10, 900.00000, 125.782, -30.2202, 0.0212652, -105.604, 0.423965, -61.999, 0.423965, 118.001
10, 1800.00000, 125.71, -30.2222, 0.0287892, -63.916, 0.426279, -62.0032, 0.426279, 117.997
10, 2700.00000, 125.582, -30.2399, 0.0291896, -72.1234, 0.435461, -62.0189, 0.435461, 117.981
11, 0.00000, 125.291, -30.3023, 0.0413214, -72.2403, 0.434479, -62.078, 0.434479, 117.922
11, 900.00000, 125.297, -30.3089, 0.0404206, -77.5318, 0.391275, -62.0836, 0.391275, 117.916
11, 1800.00000, 125.474, -30.2685, 0.0326776, -76.6093, 0.246555, -62.0468, 0.246555, 117.953
11, 2700.00000, 125.309, -30.2825, 0.0446086, -49.7631, 0.228691, -62.0638, 0.228691, 117.936
12, 0.00000, 125.557, -30.2434, 0.0332199, -59.614, 0.214096, -62.025, 0.214096, 117.975
12, 900.00000, 125.34, -30.2802, 0.040129, -57.1461, 0.191521, -62.0595, 0.191521, 117.94
12, 1800.00000, 125.505, -30.2499, 0.0400461, -50.6292, 0.189268, -62.0325, 0.189268, 117.968
12, 2700.00000, 125.709, -30.2204, 0.0330111, -55.5922, 0.20374, -62.0029, 0.20374, 117.997
13, 0.00000, 125.732, -30.2203, 0.0321439, -61.7876, 0.328752, -62.001, 0.328752, 117.999
13, 900.00000, 125.596, -30.2338, 0.0361007, -52.0626, 0.393728, -62.0157, 0.393728, 117.984
13, 1800.00000, 125.492, -30.2421, 0.0311247, -63.8515, 0.405482, -62.0223, 0.405482, 117.978
13, 2700.00000, 125.593, -30.2296, 0.0367439, -52.5278, 0.413937, -62.0119, 0.413937, 117.988
14, 0.00000, 125.562, -30.2384, 0.0321134, -60.1865, 0.401221, -62.0193, 0.401221, 117.981
14, 900.00000, 125.597, -30.235, 0.0349183, -55.1553, 0.390355, -62.0168, 0.390355, 117.983
14, 1800.00000, 125.499, -30.2458, 0.0419997, -48.4555, 0.412903, -62.0279, 0.412903, 117.972
14, 2700.00000, 125.572, -30.2365, 0.0391748, -52.3084, 0.438244, -62.0183, 0.438244, 117.982
15, 0.00000, 125.64, -30.2297, 0.033868, -58.5954, 0.42252, -62.0108, 0.42252, 117.989
15, 900.00000, 125.656, -30.2319, 0.0278408, -73.8775, 0.427806, -62.0114, 0.427806, 117.989
15, 1800.00000, 125.581, -30.2409, 0.0356737, -59.8038, 0.403196, -62.0211, 0.403196, 117.979
15, 2700.00000, 125.709, -30.2334, 0.0339878, -66.7168, 0.416894, -62.0127, 0.416894, 117.987
16, 0.00000, 125.58, -30.2462, 0.0386843, -57.3287, 0.414645, -62.0262, 0.414645, 117.974
16, 900.00000, 125.463, -30.2669, 0.04375, -56.4221, 0.446037, -62.046, 0.446037, 117.954
16, 1800.00000, 125.404, -30.2797, 0.0435598, -59.758, 0.440861, -62.058, 0.440861, 117.942
16, 2700.00000, 125.357, -30.2602, 0.04254, -52.8759, 0.428218, -62.0412, 0.428218, 117.959
17, 0.00000, 125.162, -30.303, 0.0456001, -62.8266, 0.445077, -62.0793, 0.445077, 117.921
17, 900.00000, 125.295, -30.3195, 0.044848, -90.3266, 0.462117, -62.0899, 0.462117, 117.91
17, 1800.00000, 124.917, -30.3943, 0.0585232, -118.145, 0.453284, -62.1557, 0.453284, 117.844
17, 2700.00000, 124.319, -30.4691, 0.0664863, -112.904, 0.371858, -62.227, 0.371858, 117.773
18, 0.00000, 124.243, -30.529, 0.0824754, -114.432, 0.242164, -62.2794, 0.242164, 117.721
18, 900.00000, 124.016, -30.5455, 0.0815752, -91.3642, 0.174495, -62.3008, 0.174495, 117.699
18, 1800.00000, 123.907, -30.5335, 0.0724339, -88.2345, 0.152141, -62.2935, 0.152141, 117.707
18, 2700.00000, 123.702, -30.5516, 0.0798129, -78.0137, 0.138731, -62.3122, 0.138731, 117.688
19, 0.00000, 123.676, -30.5226, 0.0659374, -83.577, 0.11415, -62.2865, 0.11415, 117.714
19, 900.00000, 123.788, -30.5118, 0.0701301, -75.8935, 0.10176, -62.2775, 0.10176, 117.722
19, 1800.00000, 123.841, -30.5053, 0.0700444, -75.4961, 0.0955684, -62.2709, 0.0955684, 117.729
19, 2700.00000, 124.109, -30.4771, 0.0621998, -89.5119, 0.0912763, -62.2414, 0.0912763, 117.759
20, 0.00000, 124.214, -30.4571, 0.0617462, -83.7887, 0.0850701, -62.2231, 0.0850701, 117.777
20, 900.00000, 124.331, -30.4555, 0.0612162, -98.0847, 0.0856548, -62.2178, 0.0856548, 117.782
20, 1800.00000, 124.38, -30.4387, 0.058589, -94.3104, 0.0808629, -62.2031, 0.0808629, 117.797
20, 2700.00000, 124.576, -30.4055, 0.0536914, -91.7753, 0.0807348, -62.1722, 0.0807348, 117.828
21, 0.00000, 124.678, -30.3943, 0.0566723, -83.094, 0.0732285, -62.1623, 0.0732285, 117.838
21, 900.00000, 124.695, -30.3798, 0.0498926, -86.1007, 0.069826, -62.1494, 0.069826, 117.851
21, 1800.00000, 124.719, -30.3609, 0.0435458, -102.612, 0.0691181, -62.1302, 0.0691181, 117.87
21, 2700.00000, 124.787, -30.3566, 0.0461983, -85.6584, 0.0677304, -62.1278, 0.0677304, 117.872
22, 0.00000, 124.917, -30.3403, 0.0465964, -79.0227, 0.0656375, -62.113, 0.0656375, 117.887
22, 900.00000, 124.847, -30.339, 0.0507651, -67.1845, 0.0609362, -62.1133, 0.0609362, 117.887
22, 1800.00000, 125.025, -30.3171, 0.0452022, -69.1291, 0.0608502, -62.093, 0.0608502, 117.907
22, 2700.00000, 125.207, -30.2963, 0.0397732, -79.8578, 0.0614414, -62.0712, 0.0614414, 117.929
23, 0.00000, 125.404, -30.2669, 0.0388588, -67.2646, 0.0559446, -62.0453, 0.0559446, 117.955
23, 900.00000, 125.456, -30.2587, 0.0408851, -63.4318, 0.0545876, -62.037, 0.0545876, 117.963
23, 1800.00000, 125.431, -30.2621, 0.0426677, -58.1358, 0.0532488, -62.0413, 0.0532488, 117.959
23, 2700.00000, 125.591, -30.2353, 0.0364547, -61.8318, 0.0504828, -62.0155, 0.0504828, 117.985
24, 0.00000, 125.85, -30.2001, 0.0277922, -64.4077, 0.0510415, -61.9821, 0.0510415, 118.018
