hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 900.00000, 0.27825, 0.171983, 0.138104, 0.0856194, 0.0327224, 0.0203056, -0.000130921, 0.000214628
0, 1800.00000, 0.266117, 0.164517, 0.137231, 0.085074, 0.036522, 0.0226612, -0.000113917, 0.000182681
0, 2700.00000, 0.243778, 0.150732, 0.12427, 0.0770364, 0.0320006, 0.0198526, -9.74828E-005, 0.000157141
1, 0.00000, 0.231641, 0.143257, 0.122892, 0.0761782, 0.0352887, 0.0218901, -8.23499E-005, 0.00013017
1, 900.00000, 0.218097, 0.134888, 0.116984, 0.0725185, 0.0345252, 0.0214149, -7.81993E-005, 0.000114934
1, 1800.00000, 0.222511, 0.137629, 0.115066, 0.0713217, 0.0308743, 0.01915, -7.07886E-005, 0.000123736
1, 2700.00000, 0.198502, 0.122797, 0.112518, 0.0697476, 0.0375618, 0.0232949, -6.27803E-005, 8.49291E-005
2, 0.00000, 0.204121, 0.126275, 0.109878, 0.0681061, 0.032712, 0.0202875, -6.05248E-005, 9.73581E-005
2, 900.00000, 0.194933, 0.120589, 0.104992, 0.065081, 0.0313031, 0.0194128, -6.13278E-005, 9.0364E-005
2, 1800.00000, 0.184056, 0.113866, 0.104418, 0.0647282, 0.0349205, 0.0216551, -5.87274E-005, 7.42614E-005
2, 2700.00000, 0.181013, 0.111987, 0.0985093, 0.0610634, 0.0301006, 0.0186653, -5.62348E-005, 7.72059E-005
3, 0.00000, 0.190235, 0.117698, 0.103135, 0.0639257, 0.031233, 0.0193683, -5.31525E-005, 8.34899E-005
3, 900.00000, 0.184573, 0.114196, 0.103543, 0.064181, 0.0338326, 0.0209799, -5.33623E-005, 7.45163E-005
3, 1800.00000, 0.185849, 0.114981, 0.100487, 0.0622865, 0.0302395, 0.0187518, -5.45845E-005, 8.12384E-005
3, 2700.00000, 0.17801, 0.110139, 0.103507, 0.0641607, 0.0363307, 0.0225283, -5.19098E-005, 6.51857E-005
4, 0.00000, 0.170434, 0.105458, 0.104254, 0.0646251, 0.0400152, 0.0248119, -4.81716E-005, 5.35524E-005
4, 900.00000, 0.186934, 0.115664, 0.10948, 0.0678585, 0.0389439, 0.0241498, -5.00856E-005, 6.96155E-005
