hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 900.00000, 0.199356, 0.123487, -0.000172338, -0.000118496
0, 1800.00000, 0.190663, 0.118102, -0.00015446, -0.000103736
0, 2700.00000, 0.174656, 0.108192, -0.000130371, -8.80544E-005
1, 0.00000, 0.165955, 0.102803, -0.000114862, -7.58072E-005
1, 900.00000, 0.156245, 0.0967876, -0.000101263, -6.42742E-005
1, 1800.00000, 0.159418, 0.0987583, -0.000107305, -7.44949E-005
1, 2700.00000, 0.142203, 0.0880889, -8.10696E-005, -4.81094E-005
2, 0.00000, 0.146235, 0.0905916, -8.83128E-005, -5.83004E-005
2, 900.00000, 0.139648, 0.0865101, -8.0412E-005, -5.10689E-005
2, 1800.00000, 0.131848, 0.0816753, -6.96289E-005, -3.9679E-005
2, 2700.00000, 0.129669, 0.0803291, -6.8778E-005, -4.19587E-005
3, 0.00000, 0.136283, 0.084428, -7.62852E-005, -4.97008E-005
3, 900.00000, 0.132223, 0.0819103, -7.03822E-005, -4.27029E-005
3, 1800.00000, 0.133139, 0.0824795, -7.29108E-005, -4.6427E-005
3, 2700.00000, 0.127517, 0.078993, -6.41343E-005, -3.59693E-005
4, 0.00000, 0.122084, 0.0756258, -5.69325E-005, -2.8608E-005
4, 900.00000, 0.133913, 0.0829559, -7.08051E-005, -4.17048E-005
4, 1800.00000, 0.135177, 0.0837411, -7.31614E-005, -4.56282E-005
4, 2700.00000, 0.131095, 0.0812102, -6.79607E-005, -4.00394E-005
5, 0.00000, 0.147415, 0.0913204, -9.12579E-005, -5.79748E-005
5, 900.00000, 0.169175, 0.104785, -0.0001187, -6.72534E-005
5, 1800.00000, 0.245496, 0.152044, -0.000270374, -0.000179573
5, 2700.00000, 0.386063, 0.239074, -0.000690661, -0.000523066
6, 0.00000, 0.367427, 0.227618, -0.000614765, -0.000543285
6, 900.00000, 0.424558, 0.263017, -0.000832247, -0.00076041
6, 1800.00000, 0.248248, 0.15379, -0.000276608, -0.000226662
6, 2700.00000, 0.194452, 0.120454, -0.000163386, -0.000115814
7, 0.00000, 0.214667, 0.132982, -0.000199309, -0.000152891
7, 900.00000, 0.291467, 0.180563, -0.000383547, -0.000326897
7, 1800.00000, 0.299049, 0.185267, -0.000398285, -0.000347328
7, 2700.00000, 0.207393, 0.128489, -0.000192254, -0.000157868
8, 0.00000, 0.156658, 0.0970304, -9.98683E-005, -5.04644E-005
8, 900.00000, 0.158396, 0.0981101, -0.000106598, -5.84723E-005
8, 1800.00000, 0.15103, 0.0935582, -0.000100313, -6.3993E-005
8, 2700.00000, 0.169083, 0.10474, -0.000128054, -8.48421E-005
9, 0.00000, 0.174721, 0.108207, -0.000124458, -5.84256E-005
9, 900.00000, 0.171875, 0.106457, -0.000123774, -7.03699E-005
9, 1800.00000, 0.202359, 0.125341, -0.000178146, -0.000117411
9, 2700.00000, 0.172161, 0.1066, -0.000108781, -2.61824E-005
10, 0.00000, 0.154313, 0.0955746, -9.94194E-005, -4.70924E-005
10, 900.00000, 0.179356, 0.111056, -0.000115728, -3.28343E-005
10, 1800.00000, 0.200314, 0.124067, -0.00016847, -0.000103442
10, 2700.00000, 0.228708, 0.141627, -0.000211952, -0.000115092
11, 0.00000, 0.275205, 0.170406, -0.000326815, -0.000193013
11, 900.00000, 0.270381, 0.167413, -0.000313643, -0.000176651
11, 1800.00000, 0.251042, 0.155452, -0.000261816, -0.000149045
11, 2700.00000, 0.280264, 0.1736, -0.000351744, -0.00027324
12, 0.00000, 0.241361, 0.14949, -0.000249183, -0.000170284
12, 900.00000, 0.27896, 0.172769, -0.000339947, -0.000243255
12, 1800.00000, 0.251493, 0.155787, -0.000283119, -0.000219077
12, 2700.00000, 0.213998, 0.132561, -0.00020213, -0.000147921
13, 0.00000, 0.204558, 0.126704, -0.000183251, -0.000122694
13, 900.00000, 0.225815, 0.139875, -0.000223481, -0.000161975
13, 1800.00000, 0.255025, 0.157921, -0.000263905, -0.000156019
13, 2700.00000, 0.23246, 0.143986, -0.000235772, -0.000167787
14, 0.00000, 0.234379, 0.145157, -0.00023002, -0.00014674
14, 900.00000, 0.226367, 0.140211, -0.000222476, -0.000155247
14, 1800.00000, 0.245864, 0.152298, -0.000270766, -0.00020677
14, 2700.00000, 0.232869, 0.144244, -0.000241282, -0.000175556
15, 0.00000, 0.218884, 0.135572, -0.000207378, -0.000138489
15, 900.00000, 0.212405, 0.131537, -0.000183221, -9.79838E-005
15, 1800.00000, 0.230127, 0.142532, -0.000230563, -0.000154163
15, 2700.00000, 0.199481, 0.123556, -0.0001771, -0.000112919
16, 0.00000, 0.225283, 0.139543, -0.000228466, -0.000162216
16, 900.00000, 0.24471, 0.151574, -0.00027404, -0.000199037
16, 1800.00000, 0.25347, 0.156988, -0.000290882, -0.000203184
16, 2700.00000, 0.282615, 0.175028, -0.000346195, -0.000242775
17, 0.00000, 0.313951, 0.194392, -0.000425739, -0.000272885
17, 900.00000, 0.273173, 0.169106, -0.00031792, -0.000145392
17, 1800.00000, 0.345795, 0.213888, -0.000456611, -8.88722E-005
17, 2700.00000, 0.481327, 0.297568, -0.00089155, -0.00025528
18, 0.00000, 0.478867, 0.29603, -0.000928377, -0.000261094
18, 900.00000, 0.528779, 0.327035, -0.0012255, -0.000613102
18, 1800.00000, 0.556946, 0.344434, -0.0013117, -0.000669691
18, 2700.00000, 0.606082, 0.374846, -0.00159724, -0.000921465
