hour, t(sec), V1, VAngle1, I1, IAngle1
45, 1800.00000, 9.08172E-005, -34.364, 1.81634E-005, -34.364
45, 2700.00000, 8.73608E-005, -37.8443, 1.74722E-005, -37.8443
46, 0.00000, 8.61808E-005, -39.1859, 1.72362E-005, -39.1859
46, 900.00000, 8.48929E-005, -40.7622, 1.69786E-005, -40.7622
46, 1800.00000, 8.51979E-005, -40.3773, 1.70396E-005, -40.3773
46, 2700.00000, 8.53517E-005, -40.186, 1.70703E-005, -40.186
47, 0.00000, 8.62948E-005, -39.0523, 1.7259E-005, -39.0523
47, 900.00000, 8.42568E-005, -41.5905, 1.68514E-005, -41.5905
47, 1800.00000, 8.47678E-005, -40.9225, 1.69536E-005, -40.9225
47, 2700.00000, 8.32901E-005, -42.9222, 1.6658E-005, -42.9222
