hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
34, 0.00000, -0.35132, 0.0344689, -0.351276, 0.0344657, -0.351299, 0.0344684, 1.77252E-010, 2.65055E-010
34, 900.00000, -0.420639, 0.0344854, -0.420578, 0.0344809, -0.420609, 0.034486, 4.29094E-010, 4.19158E-010
34, 1800.00000, -0.417886, 0.0344854, -0.417823, 0.0344807, -0.417855, 0.0344845, 5.30806E-010, 4.47899E-010
34, 2700.00000, -0.420597, 0.0344861, -0.420533, 0.0344814, -0.420566, 0.0344852, 5.44096E-010, 4.51624E-010
35, 0.00000, -0.41569, 0.0344849, -0.415626, 0.0344802, -0.415659, 0.0344838, 5.4264E-010, 4.50882E-010
35, 900.00000, -0.381152, 0.0344763, -0.381099, 0.0344723, -0.381126, 0.0344748, 3.62144E-010, 3.55819E-010
35, 1800.00000, -0.379473, 0.0344756, -0.379421, 0.0344718, -0.379448, 0.0344747, 3.18195E-010, 3.42357E-010
35, 2700.00000, -0.379279, 0.0344755, -0.379227, 0.0344717, -0.379254, 0.0344747, 3.12234E-010, 3.40512E-010
36, 0.00000, -0.379537, 0.0344756, -0.379486, 0.0344718, -0.379512, 0.0344748, 3.11636E-010, 3.40384E-010
36, 900.00000, -0.372566, 0.0344739, -0.372517, 0.0344702, -0.372542, 0.0344731, 2.75619E-010, 3.18508E-010
36, 1800.00000, -0.369743, 0.0344732, -0.369694, 0.0344696, -0.369719, 0.0344725, 2.65767E-010, 3.14888E-010
36, 2700.00000, -0.368992, 0.034473, -0.368944, 0.0344694, -0.368969, 0.0344723, 2.62442E-010, 3.13642E-010
37, 0.00000, -0.368668, 0.034473, -0.36862, 0.0344694, -0.368645, 0.0344723, 2.61416E-010, 3.13233E-010
37, 900.00000, -0.319625, 0.0344624, -0.319588, 0.0344597, -0.319607, 0.0344613, 1.29952E-010, 2.21755E-010
37, 1800.00000, -0.322378, 0.0344627, -0.322341, 0.03446, -0.32236, 0.0344622, 9.93074E-011, 2.11897E-010
37, 2700.00000, -0.322658, 0.0344627, -0.322622, 0.03446, -0.322641, 0.0344623, 9.80912E-011, 2.11607E-010
38, 0.00000, -0.321886, 0.0344626, -0.32185, 0.0344599, -0.321868, 0.0344621, 9.80288E-011, 2.11332E-010
38, 900.00000, -0.266655, 0.0344524, -0.26663, 0.0344505, -0.266643, 0.0344516, 1.67912E-011, 1.31538E-010
