hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
12, 2700.00000, 0.032734, 0.0202895, 0.0326688, 0.020281, 9.5513E-006, -3.83234E-005
13, 0.00000, 0.0383963, 0.0238016, 0.0383191, 0.0237876, 1.29886E-005, -4.48678E-005
13, 900.00000, 0.0427969, 0.0265231, 0.0427127, 0.0265173, 8.59792E-006, -4.92219E-005
13, 1800.00000, 0.0794604, 0.0492508, 0.0792939, 0.049229, 2.25682E-005, -9.5796E-005
13, 2700.00000, 0.0472935, 0.02931, 0.047198, 0.0293035, 9.7013E-006, -5.57386E-005
14, 0.00000, 0.0614682, 0.0380986, 0.0613444, 0.0380833, 1.61006E-005, -7.15508E-005
14, 900.00000, 0.0464193, 0.02877, 0.0463261, 0.0287608, 1.10257E-005, -5.42629E-005
14, 1800.00000, 0.0389783, 0.024155, 0.0388939, 0.0241516, 7.36663E-006, -4.9072E-005
14, 2700.00000, 0.0410072, 0.0254148, 0.0409203, 0.0254077, 9.56468E-006, -5.05343E-005
15, 0.00000, 0.0476707, 0.0295477, 0.047575, 0.029535, 1.30978E-005, -5.56094E-005
15, 900.00000, 0.0665976, 0.0412859, 0.0664689, 0.0412575, 2.41745E-005, -7.43575E-005
15, 1800.00000, 0.0475316, 0.0294634, 0.0474283, 0.0294477, 1.53757E-005, -5.99132E-005
15, 2700.00000, 0.0354589, 0.0219839, 0.035383, 0.0219662, 1.54845E-005, -4.41609E-005
16, 0.00000, 0.0347375, 0.0215327, 0.03466, 0.0215211, 1.21519E-005, -4.52019E-005
16, 900.00000, 0.0322892, 0.0200157, 0.0322084, 0.0200034, 1.31931E-005, -4.67877E-005
16, 1800.00000, 0.037694, 0.0233684, 0.0375951, 0.0233506, 1.73231E-005, -5.71881E-005
16, 2700.00000, 0.0616374, 0.0382001, 0.0614882, 0.0381901, 1.5111E-005, -8.69256E-005
17, 0.00000, 0.0719409, 0.0446009, 0.0717243, 0.0445621, 3.42161E-005, -0.000123728
17, 900.00000, 0.0707678, 0.0439094, 0.0705314, 0.0438177, 6.71777E-005, -0.000134783
17, 1800.00000, 0.14462, 0.0898068, 0.144018, 0.0895025, 0.000216753, -0.000345188
17, 2700.00000, 0.197818, 0.122856, 0.19679, 0.122403, 0.000331871, -0.000588347
18, 0.00000, 0.162295, 0.100887, 0.161285, 0.100378, 0.000363851, -0.000577238
18, 900.00000, 0.117207, 0.0728151, 0.116443, 0.072519, 0.000228478, -0.000439546
18, 1800.00000, 0.150968, 0.0937335, 0.150065, 0.0934338, 0.000235465, -0.000521015
18, 2700.00000, 0.143051, 0.0887996, 0.142134, 0.0885367, 0.000210729, -0.000525906
19, 0.00000, 0.207514, 0.128763, 0.206325, 0.128458, 0.00025777, -0.000685616
19, 900.00000, 0.167154, 0.103715, 0.166191, 0.103481, 0.000196674, -0.000554304
19, 1800.00000, 0.159869, 0.0991951, 0.158953, 0.0989701, 0.000187591, -0.000526359
19, 2700.00000, 0.168472, 0.104566, 0.167569, 0.104282, 0.000222227, -0.000518594
20, 0.00000, 0.149692, 0.0928956, 0.148913, 0.092669, 0.00018179, -0.000448613
20, 900.00000, 0.159994, 0.0993295, 0.159157, 0.0990191, 0.000231832, -0.000478913
20, 1800.00000, 0.15682, 0.0973402, 0.156033, 0.097071, 0.000207961, -0.000453222
20, 2700.00000, 0.140622, 0.0872687, 0.139975, 0.0870541, 0.000165426, -0.000371628
21, 0.00000, 0.105752, 0.0656266, 0.105262, 0.0654726, 0.0001213, -0.000282616
21, 900.00000, 0.12884, 0.0799362, 0.128293, 0.0797738, 0.000129702, -0.000315468
21, 1800.00000, 0.177228, 0.109954, 0.176535, 0.109729, 0.000179008, -0.000398354
21, 2700.00000, 0.132503, 0.0821979, 0.131975, 0.0820485, 0.000120559, -0.000304026
22, 0.00000, 0.105592, 0.0654981, 0.105186, 0.0653897, 8.87239E-005, -0.000234046
22, 900.00000, 0.0970851, 0.0602052, 0.0967086, 0.0601294, 6.74442E-005, -0.000217406
22, 1800.00000, 0.0886374, 0.0549655, 0.0883276, 0.0549, 5.76998E-005, -0.000179392
22, 2700.00000, 0.0899075, 0.0557627, 0.0896123, 0.0556817, 6.53281E-005, -0.000170366
23, 0.00000, 0.0560727, 0.034769, 0.0559122, 0.034734, 3.15172E-005, -9.38105E-005
23, 900.00000, 0.0437735, 0.0271416, 0.0436473, 0.027115, 2.46278E-005, -7.33319E-005
23, 1800.00000, 0.0366585, 0.0227271, 0.036555, 0.0227091, 1.86607E-005, -6.03002E-005
23, 2700.00000, 0.0406677, 0.025213, 0.0405648, 0.0251931, 1.89543E-005, -6.00751E-005
24, 0.00000, 0.0322924, 0.0200192, 0.0322297, 0.0200061, 1.23267E-005, -3.71887E-005
