hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
13, 2700.00000, 0.106389, 0.0661879, 0.106734, 0.066037, -8.74261E-005, -0.000195028
14, 0.00000, 0.112804, 0.0701886, 0.11318, 0.0700183, -9.78492E-005, -0.000216854
14, 900.00000, 0.10843, 0.067459, 0.108782, 0.0673031, -9.02118E-005, -0.000200967
14, 1800.00000, 0.107931, 0.0671502, 0.108286, 0.0669961, -8.9933E-005, -0.000203054
14, 2700.00000, 0.11112, 0.0691398, 0.111488, 0.0689733, -9.52147E-005, -0.000211491
15, 0.00000, 0.112158, 0.0697841, 0.112527, 0.0696154, -9.65405E-005, -0.000212253
15, 900.00000, 0.119702, 0.0744913, 0.120112, 0.0743002, -0.000109511, -0.00023725
15, 1800.00000, 0.12257, 0.0762883, 0.123012, 0.076091, -0.000115382, -0.000252178
15, 2700.00000, 0.128915, 0.0802472, 0.129386, 0.0800263, -0.000126526, -0.000270844
16, 0.00000, 0.124006, 0.0771848, 0.124458, 0.0769837, -0.000117717, -0.000257373
16, 900.00000, 0.136906, 0.085251, 0.137452, 0.0850033, -0.000143858, -0.000313724
16, 1800.00000, 0.147704, 0.0920078, 0.148335, 0.091718, -0.000167422, -0.000363033
16, 2700.00000, 0.127724, 0.0795224, 0.128222, 0.0793037, -0.000127282, -0.00028235
17, 0.00000, 0.170624, 0.106371, 0.171464, 0.105978, -0.000226797, -0.000489711
17, 900.00000, 0.224554, 0.14021, 0.225929, 0.139527, -0.000389272, -0.000802878
17, 1800.00000, 0.314364, 0.196887, 0.317136, 0.195569, -0.000776311, -0.0015698
17, 2700.00000, 0.372676, 0.233944, 0.376705, 0.232059, -0.00111426, -0.00227073
18, 0.00000, 0.452375, 0.284708, 0.458273, 0.281944, -0.00164525, -0.00330516
18, 900.00000, 0.429843, 0.270399, 0.435354, 0.267933, -0.00148456, -0.00303808
18, 1800.00000, 0.385404, 0.242117, 0.389878, 0.240118, -0.00119416, -0.00248337
18, 2700.00000, 0.390556, 0.245421, 0.395162, 0.243336, -0.00123203, -0.00258154
19, 0.00000, 0.355477, 0.223147, 0.35935, 0.221406, -0.00102611, -0.00217052
19, 900.00000, 0.346421, 0.21739, 0.350096, 0.215734, -0.000969546, -0.00205452
19, 1800.00000, 0.343843, 0.215739, 0.34743, 0.214105, -0.000953635, -0.00201928
19, 2700.00000, 0.344219, 0.215936, 0.347727, 0.214293, -0.000950809, -0.00198724
20, 0.00000, 0.327832, 0.205542, 0.331054, 0.204076, -0.000860378, -0.00180318
20, 900.00000, 0.349479, 0.219226, 0.353015, 0.217545, -0.000975797, -0.00201592
20, 1800.00000, 0.331877, 0.208078, 0.335135, 0.206585, -0.000879799, -0.00182499
20, 2700.00000, 0.301201, 0.188631, 0.303853, 0.187401, -0.000720337, -0.00149916
21, 0.00000, 0.295436, 0.184983, 0.297992, 0.183804, -0.000690471, -0.0014367
21, 900.00000, 0.272311, 0.170376, 0.274494, 0.169375, -0.00058689, -0.00123028
21, 1800.00000, 0.264384, 0.16537, 0.266427, 0.164415, -0.000555863, -0.00116279
21, 2700.00000, 0.254303, 0.159014, 0.256218, 0.158142, -0.000511854, -0.00107602
22, 0.00000, 0.239685, 0.149795, 0.241377, 0.149019, -0.000452429, -0.000953025
22, 900.00000, 0.226887, 0.141745, 0.228427, 0.141051, -0.000406931, -0.000868015
22, 1800.00000, 0.207752, 0.129701, 0.209031, 0.129115, -0.00033886, -0.000723559
22, 2700.00000, 0.206592, 0.128954, 0.207824, 0.128375, -0.000333383, -0.000702811
23, 0.00000, 0.17119, 0.106733, 0.172057, 0.106343, -0.000227079, -0.000485102
23, 900.00000, 0.167794, 0.104597, 0.168613, 0.104221, -0.000218031, -0.000465514
23, 1800.00000, 0.158078, 0.0985108, 0.158813, 0.0981786, -0.000193218, -0.000417563
23, 2700.00000, 0.146288, 0.0911256, 0.146911, 0.0908377, -0.00016512, -0.000354933
24, 0.00000, 0.116212, 0.0723145, 0.116606, 0.0721345, -0.000102851, -0.000222382
