hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 900.00000, 0.000246622, 0.000152839, 0.000246311, 0.000152835, 2.88717E-009, -1.79109E-007
0, 1800.00000, 0.000275216, 0.000170558, 0.000274897, 0.000170558, 1.88081E-009, -1.85405E-007
0, 2700.00000, 0.000241116, 0.000149428, 0.000240858, 0.000149426, 2.29295E-009, -1.50264E-007
1, 0.00000, 0.000265855, 0.000164756, 0.000265593, 0.000164758, 1.07617E-010, -1.51898E-007
1, 900.00000, 0.000260093, 0.00016119, 0.000259844, 0.000161185, 3.58237E-009, -1.44267E-007
1, 1800.00000, 0.000232579, 0.00014413, 0.000232364, 0.000144138, -3.39155E-009, -1.24402E-007
1, 2700.00000, 0.000282923, 0.000175339, 0.000282682, 0.000175333, 4.09575E-009, -1.39549E-007
2, 0.00000, 0.000246393, 0.000152694, 0.000246185, 0.000152698, -1.50972E-009, -1.20636E-007
2, 900.00000, 0.000235785, 0.000146124, 0.000235584, 0.000146121, 1.93979E-009, -1.16032E-007
2, 1800.00000, 0.00026302, 0.000163009, 0.000262803, 0.000162997, 7.01412E-009, -1.25587E-007
2, 2700.00000, 0.000226715, 0.000140506, 0.00022653, 0.0001405, 3.73828E-009, -1.0688E-007
3, 0.00000, 0.000235236, 0.000145781, 0.00023505, 0.000145784, -1.034E-009, -1.07908E-007
3, 900.00000, 0.000254814, 0.000157917, 0.000254612, 0.000157914, 2.1588E-009, -1.16274E-007
3, 1800.00000, 0.000227758, 0.000141149, 0.000227575, 0.000141147, 1.19738E-009, -1.05728E-007
3, 2700.00000, 0.00027362, 0.000169576, 0.000273408, 0.000169567, 5.60611E-009, -1.2236E-007
4, 0.00000, 0.000301352, 0.000186766, 0.000301129, 0.000186752, 9.02338E-009, -1.28983E-007
4, 900.00000, 0.00029329, 0.000181763, 0.000293069, 0.00018176, 1.94949E-009, -1.27898E-007
4, 1800.00000, 0.000267594, 0.000165833, 0.000267388, 0.000165836, -1.5667E-009, -1.18639E-007
4, 2700.00000, 0.000283861, 0.000175919, 0.00028365, 0.000175917, 1.7896E-009, -1.22412E-007
5, 0.00000, 0.000227772, 0.000141161, 0.000227554, 0.000141151, 4.69163E-009, -1.23608E-007
5, 900.00000, 0.000293249, 0.000181755, 0.000292904, 0.000181716, 1.9369E-008, -1.95796E-007
5, 1800.00000, 0.000235292, 0.000145835, 0.00023488, 0.000145802, 1.9935E-008, -2.37429E-007
5, 2700.00000, 0.000273445, 0.00016945, 0.000272772, 0.000169453, 7.10213E-010, -3.87468E-007
6, 0.00000, 0.000261956, 0.000162253, 0.000261498, 0.000162376, -7.00806E-008, -2.65143E-007
6, 900.00000, 0.000268793, 0.000166454, 0.000268277, 0.000166625, -9.76773E-008, -2.963E-007
6, 1800.00000, 0.000191518, 0.000118661, 0.000191255, 0.000118699, -2.15863E-008, -1.52018E-007
6, 2700.00000, 0.000222187, 0.000137689, 0.000221916, 0.000137697, -4.30243E-009, -1.57348E-007
7, 0.00000, 0.000244676, 0.000151606, 0.000244384, 0.000151643, -1.95191E-008, -1.69129E-007
7, 900.00000, 0.000230485, 0.000142785, 0.000230142, 0.000142855, -4.05355E-008, -1.95667E-007
7, 1800.00000, 0.00029581, 0.000183238, 0.000295423, 0.000183361, -6.78587E-008, -2.26035E-007
7, 2700.00000, 0.000177122, 0.000109744, 0.000176927, 0.000109779, -1.94654E-008, -1.14199E-007
8, 0.00000, 0.00034002, 0.000210736, 0.000339652, 0.000210706, 1.50417E-008, -2.11698E-007
8, 900.00000, 0.000284773, 0.000176494, 0.000284449, 0.000176473, 1.21019E-008, -1.86609E-007
8, 1800.00000, 0.000215409, 0.000133492, 0.000215189, 0.000133497, -1.16869E-009, -1.28317E-007
8, 2700.00000, 0.000217235, 0.000134624, 0.000216986, 0.000134625, -6.2759E-010, -1.42677E-007
9, 0.00000, 0.000421317, 0.000261129, 0.000420809, 0.000261078, 2.69827E-008, -2.91204E-007
