hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
15, 2700.00000, 9.60845E-010, -1.43651E-006, -9.60774E-010, -5.61078E-010
16, 0.00000, 1.09978E-009, -1.43581E-006, -1.09967E-009, -7.16861E-010
16, 900.00000, 1.21438E-009, -1.43565E-006, -1.21437E-009, -8.09606E-010
16, 1800.00000, 1.24168E-009, -1.43475E-006, -1.24172E-009, -7.95645E-010
16, 2700.00000, 1.32265E-009, -1.43267E-006, -1.32269E-009, -8.52492E-010
17, 0.00000, 1.45768E-009, -1.43111E-006, -1.45744E-009, -8.56094E-010
17, 900.00000, 1.24353E-009, -1.43229E-006, -1.24334E-009, -5.12485E-010
17, 1800.00000, 1.38611E-009, -1.42375E-006, -1.38608E-009, -2.18448E-010
17, 2700.00000, 1.93668E-009, -1.41729E-006, -1.9366E-009, -4.77951E-010
18, 0.00000, 2.03013E-009, -1.42175E-006, -2.03023E-009, -4.87642E-010
18, 900.00000, 2.45045E-009, -1.42585E-006, -2.45044E-009, -1.10409E-009
18, 1800.00000, 2.4819E-009, -1.42041E-006, -2.48185E-009, -1.14587E-009
18, 2700.00000, 2.78203E-009, -1.42134E-006, -2.78208E-009, -1.4591E-009
19, 0.00000, 2.68621E-009, -1.41375E-006, -2.68617E-009, -1.25704E-009
19, 900.00000, 2.68697E-009, -1.41866E-006, -2.68702E-009, -1.40137E-009
19, 1800.00000, 2.65455E-009, -1.41972E-006, -2.65439E-009, -1.39699E-009
19, 2700.00000, 2.32259E-009, -1.41969E-006, -2.32259E-009, -1.03627E-009
20, 0.00000, 2.29666E-009, -1.42232E-006, -2.2966E-009, -1.10678E-009
20, 900.00000, 2.11024E-009, -1.42183E-006, -2.11016E-009, -8.34888E-010
20, 1800.00000, 2.10197E-009, -1.42243E-006, -2.10188E-009, -8.79187E-010
20, 2700.00000, 1.94763E-009, -1.42448E-006, -1.94772E-009, -8.4659E-010
21, 0.00000, 1.95619E-009, -1.42904E-006, -1.95624E-009, -9.74528E-010
21, 900.00000, 1.87416E-009, -1.42586E-006, -1.87409E-009, -8.77838E-010
21, 1800.00000, 1.75486E-009, -1.42086E-006, -1.75483E-009, -6.29742E-010
21, 2700.00000, 1.80296E-009, -1.42593E-006, -1.80304E-009, -8.38106E-010
22, 0.00000, 1.73907E-009, -1.4292E-006, -1.73907E-009, -8.89848E-010
22, 900.00000, 1.87626E-009, -1.43004E-006, -1.87612E-009, -1.08541E-009
22, 1800.00000, 1.6792E-009, -1.43087E-006, -1.67915E-009, -9.57098E-010
22, 2700.00000, 1.47934E-009, -1.43154E-006, -1.47934E-009, -7.53038E-010
23, 0.00000, 1.35276E-009, -1.43521E-006, -1.35274E-009, -8.11775E-010
23, 900.00000, 1.35299E-009, -1.43707E-006, -1.35293E-009, -8.57496E-010
23, 1800.00000, 1.37609E-009, -1.43714E-006, -1.37609E-009, -9.26029E-010
23, 2700.00000, 1.21954E-009, -1.43752E-006, -1.21946E-009, -7.82218E-010
24, 0.00000, 9.38983E-010, -1.43849E-006, -9.38979E-010, -5.92739E-010
