hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
14, 2700.00000, 0.0467815, 0.0289832, 0.0510598, 0.0316631, -2.35146E-006, -1.71269E-005
15, 0.00000, 0.0451275, 0.0279578, 0.0593651, 0.0368101, -1.0455E-006, -1.63545E-005
15, 900.00000, 0.0456987, 0.0283099, 0.0829496, 0.0514275, -2.06158E-007, -1.77548E-005
15, 1800.00000, 0.0430438, 0.0266658, 0.0591886, 0.0367018, -9.76924E-007, -1.70713E-005
15, 2700.00000, 0.0445522, 0.0275994, 0.0441596, 0.0273816, -6.04953E-006, -1.13912E-005
16, 0.00000, 0.0442657, 0.0274227, 0.0432543, 0.0268226, -4.90911E-006, -1.40504E-005
16, 900.00000, 0.047573, 0.0294706, 0.0401999, 0.0249307, -7.47851E-006, -1.51589E-005
16, 1800.00000, 0.0469994, 0.0291143, 0.0469279, 0.0291032, -6.41054E-006, -1.67864E-005
16, 2700.00000, 0.0456333, 0.028271, 0.0767336, 0.0475862, 5.8356E-006, -2.6286E-005
17, 0.00000, 0.0473584, 0.0293344, 0.08955, 0.0555378, 4.32844E-006, -3.26877E-005
17, 900.00000, 0.0492274, 0.030485, 0.0881109, 0.0546396, -1.1447E-005, -2.6733E-005
17, 1800.00000, 0.0481452, 0.0298044, 0.180075, 0.111645, -3.46427E-005, -6.51002E-005
17, 2700.00000, 0.0393085, 0.0243306, 0.246196, 0.152657, -2.32759E-005, -0.000121425
18, 0.00000, 0.0255847, 0.0158314, 0.201947, 0.125241, -3.7951E-005, -0.000126346
18, 900.00000, 0.0184002, 0.0113877, 0.145754, 0.0904277, 7.83204E-006, -0.000103179
18, 1800.00000, 0.0160282, 0.00992137, 0.187746, 0.116465, 2.89911E-005, -0.000120486
18, 2700.00000, 0.0145909, 0.00903195, 0.177835, 0.110343, 4.97933E-005, -0.000124317
19, 0.00000, 0.0120029, 0.0074307, 0.258044, 0.160057, 7.41578E-005, -0.000151801
19, 900.00000, 0.0107097, 0.00663042, 0.207838, 0.128938, 6.91699E-005, -0.000127273
19, 1800.00000, 0.0100623, 0.00622956, 0.198781, 0.123321, 6.56736E-005, -0.00012144
19, 2700.00000, 0.00963167, 0.00596257, 0.209564, 0.129981, 3.85129E-005, -0.000117117
20, 0.00000, 0.00898387, 0.00556186, 0.186201, 0.115494, 4.09462E-005, -0.000102766
20, 900.00000, 0.00905457, 0.00560488, 0.199064, 0.123456, 1.80878E-005, -0.000108308
20, 1800.00000, 0.00855104, 0.00529354, 0.195117, 0.121006, 2.47673E-005, -0.000102412
20, 2700.00000, 0.00855067, 0.00529382, 0.174986, 0.108518, 2.30998E-005, -8.41465E-005
21, 0.00000, 0.00776198, 0.00480565, 0.13158, 0.0816117, 2.24126E-005, -6.64085E-005
21, 900.00000, 0.00740208, 0.00458309, 0.160332, 0.099429, 2.68835E-005, -7.16353E-005
21, 1800.00000, 0.00732853, 0.00453751, 0.22061, 0.136775, 2.28148E-005, -8.39691E-005
21, 2700.00000, 0.00718515, 0.00444901, 0.164909, 0.102262, 2.85211E-005, -6.81263E-005
22, 0.00000, 0.00697035, 0.00431622, 0.131414, 0.0814966, 2.50639E-005, -5.39316E-005
22, 900.00000, 0.00646709, 0.00400484, 0.120804, 0.0749255, 3.41317E-005, -5.09204E-005
22, 1800.00000, 0.00646738, 0.00400518, 0.110315, 0.0684138, 2.6237E-005, -4.19039E-005
22, 2700.00000, 0.00653979, 0.00404989, 0.111923, 0.0694023, 1.73171E-005, -3.92122E-005
23, 0.00000, 0.00596385, 0.0036936, 0.0698067, 0.0432879, 1.29465E-005, -2.25076E-005
23, 900.00000, 0.00582143, 0.00360543, 0.0544932, 0.0337934, 1.07235E-005, -1.80133E-005
23, 1800.00000, 0.00567735, 0.00351633, 0.0456339, 0.0283002, 1.02192E-005, -1.51003E-005
23, 2700.00000, 0.00538949, 0.00333804, 0.050634, 0.0313977, 9.36951E-006, -1.47323E-005
24, 0.00000, 0.00546029, 0.00338211, 0.0402188, 0.0249354, 4.9585E-006, -9.07975E-006
