hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
10, 900.00000, 0.0832913, 0.0515471, 0.0832867, 0.0516459, 0.0832031, 0.051593, 1.09331E-006, 1.26365E-007
10, 1800.00000, 0.0821796, 0.0508536, 0.0822157, 0.0509618, 0.0821055, 0.0509392, 1.47095E-006, 1.65556E-007
10, 2700.00000, 0.0849359, 0.0525473, 0.0849707, 0.0526758, 0.0848419, 0.0526407, 1.88883E-006, 2.1092E-007
11, 0.00000, 0.0822397, 0.0508406, 0.0822841, 0.0510221, 0.0821046, 0.0509703, 4.01521E-006, 4.27065E-007
11, 900.00000, 0.0871497, 0.0538713, 0.0871874, 0.0540699, 0.0869958, 0.0540034, 4.18652E-006, 4.75221E-007
11, 1800.00000, 0.0848405, 0.0524666, 0.0848744, 0.0526261, 0.0847186, 0.0525788, 2.96492E-006, 3.27524E-007
11, 2700.00000, 0.0864879, 0.0534911, 0.0865717, 0.0536478, 0.0863973, 0.0536431, 3.21244E-006, 3.66875E-007
12, 0.00000, 0.0866958, 0.0536322, 0.0867485, 0.0537689, 0.0866015, 0.0537481, 2.32158E-006, 2.65488E-007
12, 900.00000, 0.0864316, 0.0534499, 0.0865032, 0.0536157, 0.0863252, 0.0535932, 3.29973E-006, 3.69302E-007
12, 1800.00000, 0.0829225, 0.0512952, 0.0829918, 0.051431, 0.0828392, 0.0514254, 2.70472E-006, 2.9396E-007
12, 2700.00000, 0.0857472, 0.053053, 0.0858003, 0.0531773, 0.0856646, 0.0531627, 2.009E-006, 2.27717E-007
13, 0.00000, 0.0865011, 0.0535169, 0.0865461, 0.053646, 0.0864112, 0.0536206, 1.96324E-006, 2.23341E-007
13, 900.00000, 0.0868124, 0.0537155, 0.0868738, 0.0538368, 0.0867394, 0.0538298, 1.88848E-006, 2.20539E-007
13, 1800.00000, 0.0889517, 0.0550319, 0.0890034, 0.0551662, 0.0888605, 0.0551433, 2.03831E-006, 2.32364E-007
13, 2700.00000, 0.0861941, 0.0533313, 0.0862569, 0.0534545, 0.086119, 0.0534484, 2.0267E-006, 2.28098E-007
14, 0.00000, 0.0859188, 0.0531595, 0.0859682, 0.0532835, 0.0858357, 0.0532643, 1.88323E-006, 2.15366E-007
14, 900.00000, 0.0866882, 0.0536365, 0.0867445, 0.0537608, 0.0866089, 0.0537481, 1.93692E-006, 2.25058E-007
14, 1800.00000, 0.085132, 0.0526694, 0.0852065, 0.0527986, 0.0850585, 0.0527985, 2.36161E-006, 2.64904E-007
14, 2700.00000, 0.0815465, 0.0504517, 0.0816077, 0.050574, 0.0814704, 0.0505663, 2.22466E-006, 2.38532E-007
