hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 900.00000, 0.157804, 0.0977517, -2.19286E-005, 3.22854E-005
0, 1800.00000, 0.150931, 0.0934986, -2.0041E-005, 2.84252E-005
0, 2700.00000, 0.138272, 0.0856598, -1.69357E-005, 2.41142E-005
1, 0.00000, 0.131397, 0.0814028, -1.49987E-005, 2.08581E-005
1, 900.00000, 0.123717, 0.0766449, -1.34155E-005, 1.98882E-005
1, 1800.00000, 0.126226, 0.078202, -1.36706E-005, 1.77869E-005
1, 2700.00000, 0.11261, 0.0697664, -1.10703E-005, 1.64156E-005
2, 0.00000, 0.1158, 0.0717443, -1.15774E-005, 1.54091E-005
2, 900.00000, 0.110588, 0.0685141, -1.05315E-005, 1.57508E-005
2, 1800.00000, 0.104418, 0.0646912, -9.58313E-006, 1.54103E-005
2, 2700.00000, 0.102694, 0.0636238, -9.00722E-006, 1.46369E-005
3, 0.00000, 0.107928, 0.0668679, -9.98024E-006, 1.36433E-005
3, 900.00000, 0.104715, 0.0648769, -9.44671E-006, 1.39515E-005
3, 1800.00000, 0.105439, 0.0653252, -9.5569E-006, 1.40312E-005
3, 2700.00000, 0.100992, 0.0625701, -8.93881E-006, 1.37676E-005
4, 0.00000, 0.0966945, 0.0599078, -8.33576E-006, 1.31035E-005
4, 900.00000, 0.106056, 0.0657083, -1.00977E-005, 1.29622E-005
4, 1800.00000, 0.107055, 0.0663271, -9.75087E-006, 1.31662E-005
4, 2700.00000, 0.103822, 0.0643252, -9.56913E-006, 1.26645E-005
5, 0.00000, 0.116736, 0.0723193, -1.19563E-005, 1.87615E-005
5, 900.00000, 0.13395, 0.0829742, -1.64914E-005, 2.88742E-005
5, 1800.00000, 0.194258, 0.120308, -3.51052E-005, 6.0531E-005
5, 2700.00000, 0.30516, 0.188954, -8.59138E-005, 0.000113267
6, 0.00000, 0.290464, 0.179927, -6.60117E-005, 4.50156E-005
6, 900.00000, 0.335501, 0.207821, -8.78152E-005, 4.35285E-005
6, 1800.00000, 0.196423, 0.121679, -2.99161E-005, 3.44168E-005
6, 2700.00000, 0.153913, 0.0953462, -1.85987E-005, 3.09145E-005
7, 0.00000, 0.169906, 0.105256, -2.22335E-005, 2.81913E-005
7, 900.00000, 0.230567, 0.142827, -4.21407E-005, 3.51378E-005
7, 1800.00000, 0.236536, 0.146543, -4.48442E-005, 2.27416E-005
7, 2700.00000, 0.164129, 0.101686, -2.04749E-005, 2.20476E-005
8, 0.00000, 0.124038, 0.0768394, -1.29849E-005, 2.51952E-005
8, 900.00000, 0.125417, 0.077692, -1.31318E-005, 2.64444E-005
8, 1800.00000, 0.119586, 0.0740856, -1.09919E-005, 2.08746E-005
8, 2700.00000, 0.133864, 0.0829277, -1.47074E-005, 2.47544E-005
9, 0.00000, 0.138334, 0.0856897, -1.73982E-005, 3.07877E-005
9, 900.00000, 0.136078, 0.0842992, -1.60028E-005, 2.5271E-005
9, 1800.00000, 0.160183, 0.0992261, -2.15257E-005, 3.0769E-005
9, 2700.00000, 0.136315, 0.0844335, -1.73882E-005, 3.60227E-005
10, 0.00000, 0.122185, 0.0756892, -1.26573E-005, 2.77319E-005
10, 900.00000, 0.142015, 0.0879697, -1.92127E-005, 3.09837E-005
10, 1800.00000, 0.158568, 0.0982291, -2.1755E-005, 2.86923E-005
10, 2700.00000, 0.181019, 0.112125, -3.02798E-005, 3.92616E-005
11, 0.00000, 0.21773, 0.13484, -4.34136E-005, 6.98154E-005
11, 900.00000, 0.213921, 0.132476, -4.2014E-005, 7.40897E-005
11, 1800.00000, 0.198645, 0.123034, -3.62994E-005, 5.63454E-005
11, 2700.00000, 0.221719, 0.137337, -4.02838E-005, 4.58343E-005
12, 0.00000, 0.190985, 0.118306, -3.16915E-005, 3.9713E-005
12, 900.00000, 0.2207, 0.136695, -4.18658E-005, 5.28858E-005
12, 1800.00000, 0.198982, 0.123262, -3.27341E-005, 3.82155E-005
12, 2700.00000, 0.169362, 0.104917, -2.4013E-005, 3.11795E-005
13, 0.00000, 0.161911, 0.100297, -2.26085E-005, 3.24499E-005
13, 900.00000, 0.178716, 0.110711, -2.65977E-005, 2.92895E-005
13, 1800.00000, 0.201811, 0.125007, -3.78243E-005, 3.9578E-005
13, 2700.00000, 0.183957, 0.113959, -2.90935E-005, 3.05247E-005
14, 0.00000, 0.185488, 0.114901, -3.04056E-005, 3.46504E-005
14, 900.00000, 0.179147, 0.110977, -2.72358E-005, 3.16665E-005
14, 1800.00000, 0.194549, 0.120518, -3.13182E-005, 3.19661E-005
14, 2700.00000, 0.184276, 0.114155, -2.87517E-005, 3.23245E-005
15, 0.00000, 0.173233, 0.107312, -2.59858E-005, 3.23166E-005
15, 900.00000, 0.168126, 0.104143, -2.58252E-005, 3.58872E-005
15, 1800.00000, 0.182124, 0.112814, -2.89223E-005, 3.76548E-005
15, 2700.00000, 0.157891, 0.0978031, -2.14727E-005, 3.66566E-005
16, 0.00000, 0.178291, 0.11044, -2.66751E-005, 3.75028E-005
16, 900.00000, 0.193634, 0.119938, -3.13878E-005, 4.48859E-005
16, 1800.00000, 0.200552, 0.124217, -3.42298E-005, 5.14154E-005
16, 2700.00000, 0.22358, 0.138492, -4.4715E-005, 4.37971E-005
17, 0.00000, 0.248328, 0.153788, -5.72284E-005, 7.14853E-005
17, 900.00000, 0.216123, 0.133817, -4.62932E-005, 9.41745E-005
17, 1800.00000, 0.273507, 0.169276, -8.44074E-005, 0.000175769
17, 2700.00000, 0.380376, 0.235351, -0.000165322, 0.000281451
18, 0.00000, 0.3784, 0.234054, -0.000164814, 0.000355235
18, 900.00000, 0.417639, 0.258357, -0.000185707, 0.000355112
18, 1800.00000, 0.439817, 0.272121, -0.000203656, 0.000325373
18, 2700.00000, 0.478429, 0.296004, -0.000237398, 0.000346808
19, 0.00000, 0.496902, 0.30747, -0.000264018, 0.000319136
19, 900.00000, 0.477231, 0.295324, -0.000236928, 0.000295711
19, 1800.00000, 0.469028, 0.290249, -0.000228108, 0.00028867
19, 2700.00000, 0.42581, 0.263506, -0.000193376, 0.000273833
20, 0.00000, 0.412714, 0.255422, -0.00017898, 0.000248724
20, 900.00000, 0.39088, 0.241881, -0.000165971, 0.000262388
20, 1800.00000, 0.388015, 0.240129, -0.00016244, 0.000243103
20, 2700.00000, 0.357842, 0.221485, -0.000136133, 0.000201553
21, 0.00000, 0.341749, 0.211538, -0.000120796, 0.00018698
21, 900.00000, 0.341575, 0.211445, -0.000121722, 0.000170262
21, 1800.00000, 0.347759, 0.215272, -0.000132805, 0.000168622
21, 2700.00000, 0.332827, 0.206046, -0.000116125, 0.000152399
22, 0.00000, 0.31035, 0.192147, -9.82418E-005, 0.000132927
22, 900.00000, 0.32596, 0.20182, -0.000105763, 0.000125354
22, 1800.00000, 0.293554, 0.181775, -8.47675E-005, 0.00010492
22, 2700.00000, 0.264864, 0.164009, -7.07E-005, 9.79941E-005
23, 0.00000, 0.230122, 0.142521, -4.99161E-005, 6.87281E-005
23, 900.00000, 0.223882, 0.138657, -4.6543E-005, 6.47149E-005
23, 1800.00000, 0.224219, 0.138871, -4.50698E-005, 5.98515E-005
23, 2700.00000, 0.202901, 0.125675, -3.76549E-005, 5.06442E-005
24, 0.00000, 0.157808, 0.0977577, -2.19311E-005, 3.22931E-005
