hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 900.00000, 0.105766, 0.0655832, 0.000492815, 0.00030412, -7.06562E-005, -9.85578E-005
0, 1800.00000, 0.101152, 0.0627195, 0.000549981, 0.000339559, -6.15809E-005, -8.69593E-005
0, 2700.00000, 0.0926637, 0.0574539, 0.000481961, 0.000297306, -5.26593E-005, -7.40421E-005
1, 0.00000, 0.0880498, 0.0545907, 0.000531431, 0.000327962, -4.4681E-005, -6.36652E-005
1, 900.00000, 0.0829007, 0.0513996, 0.000519947, 0.000320814, -3.96592E-005, -5.94833E-005
1, 1800.00000, 0.0845842, 0.0524378, 0.000465018, 0.000286736, -4.19476E-005, -5.57825E-005
1, 2700.00000, 0.0754507, 0.0467792, 0.000565635, 0.000349101, -3.04022E-005, -4.83309E-005
2, 0.00000, 0.0775925, 0.0481032, 0.000492669, 0.000303851, -3.37867E-005, -4.74899E-005
2, 900.00000, 0.0740982, 0.0459392, 0.000471473, 0.000290692, -3.12495E-005, -4.68453E-005
2, 1800.00000, 0.0699604, 0.0433762, 0.000525899, 0.000324431, -2.65519E-005, -4.44272E-005
2, 2700.00000, 0.0688065, 0.0426592, 0.000453383, 0.000279448, -2.67875E-005, -4.23774E-005
3, 0.00000, 0.0723142, 0.0448303, 0.00047042, 0.000290023, -2.90835E-005, -4.15847E-005
3, 900.00000, 0.0701594, 0.0434965, 0.000509533, 0.000314272, -2.64842E-005, -4.11838E-005
3, 1800.00000, 0.0706464, 0.0437978, 0.000455473, 0.000280748, -2.81945E-005, -4.19203E-005
3, 2700.00000, 0.0676627, 0.0419501, 0.000547116, 0.000337569, -2.37711E-005, -3.98711E-005
4, 0.00000, 0.0647808, 0.0401641, 0.000602551, 0.000371926, -2.03616E-005, -3.72929E-005
4, 900.00000, 0.0710568, 0.0440516, 0.00058643, 0.000361961, -2.56722E-005, -3.96719E-005
4, 1800.00000, 0.0717268, 0.0444661, 0.000535081, 0.000330117, -2.6809E-005, -3.97113E-005
4, 2700.00000, 0.0695596, 0.0431232, 0.000567602, 0.000350276, -2.47419E-005, -3.83846E-005
5, 0.00000, 0.078223, 0.0484997, 0.000455397, 0.000280752, -3.66866E-005, -5.556E-005
5, 900.00000, 0.0897657, 0.0556694, 0.000585977, 0.000361851, -4.82028E-005, -8.26809E-005
5, 1800.00000, 0.130238, 0.0807883, 0.000469846, 0.000290043, -0.000117979, -0.000178896
5, 2700.00000, 0.204719, 0.126986, 0.00054536, 0.000337375, -0.000294046, -0.000365925
6, 0.00000, 0.194806, 0.120716, 0.000523042, 0.000323283, -0.000233585, -0.000188255
6, 900.00000, 0.225072, 0.139435, 0.00053654, 0.000331817, -0.000312367, -0.000217416
6, 1800.00000, 0.131677, 0.0816249, 0.00038275, 0.000235883, -0.000110211, -0.000114874
6, 2700.00000, 0.103153, 0.0639594, 0.000444072, 0.000273844, -6.58392E-005, -9.01614E-005
7, 0.00000, 0.113881, 0.0705969, 0.000488988, 0.000301747, -7.69595E-005, -8.90153E-005
7, 900.00000, 0.154598, 0.0958155, 0.000460447, 0.000284216, -0.000149079, -0.000133919
7, 1800.00000, 0.158585, 0.0982634, 0.000590965, 0.000365255, -0.000146938, -0.000110173
7, 2700.00000, 0.110004, 0.0681832, 0.000354161, 0.000218047, -7.60694E-005, -7.53354E-005
8, 0.00000, 0.0831146, 0.0515413, 0.000679467, 0.000419811, -3.93703E-005, -6.90966E-005
8, 900.00000, 0.0840473, 0.0521197, 0.000569096, 0.000351366, -4.43074E-005, -7.30668E-005
8, 1800.00000, 0.0801382, 0.0496861, 0.000430669, 0.000265448, -4.21282E-005, -5.90882E-005
8, 2700.00000, 0.0897162, 0.0556255, 0.000434235, 0.000267713, -5.46673E-005, -7.32354E-005
9, 0.00000, 0.0927022, 0.0574917, 0.000841653, 0.000520529, -4.9264E-005, -8.67261E-005
9, 900.00000, 0.0911918, 0.056544, 0.000701107, 0.000433298, -4.91126E-005, -7.397E-005
9, 1800.00000, 0.107363, 0.066567, 0.000639449, 0.00039515, -7.19334E-005, -9.40895E-005
9, 2700.00000, 0.0913374, 0.05666, 0.00117221, 0.000725545, -3.89027E-005, -9.4514E-005
10, 0.00000, 0.0818803, 0.0507804, 0.000649113, 0.000401013, -4.12371E-005, -7.46757E-005
10, 900.00000, 0.0951551, 0.0590173, 0.00129323, 0.000800576, -3.81825E-005, -8.53598E-005
10, 1800.00000, 0.106275, 0.0658922, 0.000802078, 0.000496047, -6.49388E-005, -8.85373E-005
10, 2700.00000, 0.121325, 0.0752369, 0.00110788, 0.000685944, -7.87384E-005, -0.000120186
11, 0.00000, 0.145978, 0.0905536, 0.000950104, 0.0005884, -0.000133746, -0.000205516
11, 900.00000, 0.143423, 0.0889799, 0.000944977, 0.000585208, -0.000129387, -0.000212236
11, 1800.00000, 0.133158, 0.0825945, 0.000983018, 0.00060864, -0.000102727, -0.000165405
11, 2700.00000, 0.148659, 0.0921607, 0.000574583, 0.000355113, -0.000140525, -0.000153163
12, 0.00000, 0.128018, 0.0793766, 0.000754483, 0.000466671, -9.72347E-005, -0.000125887
12, 900.00000, 0.14797, 0.0917518, 0.000734099, 0.000454178, -0.000134921, -0.000168494
12, 1800.00000, 0.133395, 0.0826977, 0.000499559, 0.00030844, -0.000114317, -0.000126968
12, 2700.00000, 0.113518, 0.070379, 0.000499535, 0.000308327, -8.20662E-005, -9.93487E-005
13, 0.00000, 0.108522, 0.0672883, 0.000585847, 0.000361894, -7.52161E-005, -9.97638E-005
13, 900.00000, 0.119793, 0.0742608, 0.000652951, 0.000403584, -8.77885E-005, -9.81263E-005
13, 1800.00000, 0.135268, 0.083873, 0.00121167, 0.000750461, -9.49896E-005, -0.000130195
13, 2700.00000, 0.123307, 0.0764411, 0.000721461, 0.000446139, -9.2212E-005, -0.000104073
14, 0.00000, 0.124325, 0.0770827, 0.000937532, 0.000580241, -8.65988E-005, -0.000112098
14, 900.00000, 0.12008, 0.0744445, 0.000708144, 0.000437852, -8.72783E-005, -0.000103582
14, 1800.00000, 0.13042, 0.0808445, 0.000594615, 0.000367444, -0.000107863, -0.000111588
14, 2700.00000, 0.123525, 0.0765773, 0.000625572, 0.000386633, -9.70054E-005, -0.000108522
15, 0.00000, 0.116112, 0.0719891, 0.000727224, 0.00044968, -8.222E-005, -0.000103274
15, 900.00000, 0.112677, 0.0698738, 0.00101581, 0.000628734, -6.89933E-005, -0.000107662
15, 1800.00000, 0.122083, 0.0756961, 0.000724979, 0.000448344, -9.25328E-005, -0.000118874
15, 2700.00000, 0.105831, 0.0656282, 0.000540999, 0.000334075, -7.56146E-005, -0.000107753
16, 0.00000, 0.119518, 0.074104, 0.000529947, 0.000327271, -9.53994E-005, -0.000117251
16, 900.00000, 0.129818, 0.0804936, 0.000492494, 0.000304086, -0.000116224, -0.000140519
16, 1800.00000, 0.134459, 0.08338, 0.000574774, 0.000355214, -0.000122843, -0.000157578
16, 2700.00000, 0.149892, 0.0929288, 0.000939706, 0.000581855, -0.000133255, -0.000152682
17, 0.00000, 0.166512, 0.103271, 0.00109603, 0.00067917, -0.000168266, -0.000227527
17, 900.00000, 0.144904, 0.0899388, 0.00107783, 0.000667835, -0.000135277, -0.000260604
17, 1800.00000, 0.183401, 0.113953, 0.00219997, 0.00136547, -0.000175752, -0.000470705
17, 2700.00000, 0.25516, 0.158595, 0.00300546, 0.00186765, -0.000326728, -0.000787726
18, 0.00000, 0.253908, 0.157941, 0.00246345, 0.00153145, -0.000374313, -0.000953519
18, 900.00000, 0.280363, 0.174275, 0.00177875, 0.00110604, -0.000515052, -0.000995953
18, 1800.00000, 0.295187, 0.183407, 0.00229206, 0.00142532, -0.000514245, -0.000944403
18, 2700.00000, 0.321198, 0.199528, 0.00217092, 0.00135051, -0.000631233, -0.00104014
19, 0.00000, 0.333475, 0.207116, 0.00315076, 0.00195984, -0.000574503, -0.000991547
19, 900.00000, 0.320306, 0.198902, 0.00253817, 0.00157863, -0.00057598, -0.000921813
19, 1800.00000, 0.314795, 0.195474, 0.0024277, 0.00150977, -0.000563207, -0.000897783
19, 2700.00000, 0.285698, 0.177458, 0.0025593, 0.00159092, -0.000443591, -0.000815784
20, 0.00000, 0.276925, 0.171973, 0.00227451, 0.00141365, -0.000431331, -0.000750057
20, 900.00000, 0.262236, 0.162919, 0.00243093, 0.00151063, -0.000376395, -0.000758
20, 1800.00000, 0.260313, 0.161692, 0.00238324, 0.00148089, -0.000369167, -0.000713701
