hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
11, 2700.00000, 0.0864822, 0.0534919, 0.0865657, 0.0536489, 0.0863907, 0.0536439, 5.22606E-008, 3.64525E-007
12, 0.00000, 0.0866889, 0.0536327, 0.0867421, 0.0537699, 0.0865947, 0.0537487, 3.2562E-008, 2.62906E-007
12, 900.00000, 0.0864262, 0.0534507, 0.0864972, 0.0536168, 0.0863192, 0.0535941, 4.95601E-008, 3.66535E-007
12, 1800.00000, 0.0829164, 0.0512958, 0.082986, 0.0514321, 0.0828328, 0.051426, 4.28578E-008, 2.91372E-007
12, 2700.00000, 0.0857407, 0.0530536, 0.0857941, 0.0531784, 0.0856581, 0.0531634, 2.98545E-008, 2.2562E-007
13, 0.00000, 0.086495, 0.0535176, 0.08654, 0.0536471, 0.0864049, 0.0536214, 2.80323E-008, 2.21447E-007
13, 900.00000, 0.0868067, 0.0537162, 0.0868678, 0.0538379, 0.086733, 0.0538306, 2.77793E-008, 2.19024E-007
13, 1800.00000, 0.0889454, 0.0550325, 0.088997, 0.0551673, 0.0888541, 0.0551441, 2.76565E-008, 2.30384E-007
13, 2700.00000, 0.0861878, 0.0533319, 0.0862506, 0.0534556, 0.0861123, 0.0534491, 3.22047E-008, 2.26294E-007
14, 0.00000, 0.0859129, 0.0531602, 0.0859623, 0.0532847, 0.0858296, 0.0532651, 2.36176E-008, 2.13584E-007
14, 900.00000, 0.086682, 0.0536372, 0.0867383, 0.0537619, 0.0866023, 0.0537488, 2.73826E-008, 2.2331E-007
14, 1800.00000, 0.0851264, 0.0526701, 0.0852006, 0.0527997, 0.0850523, 0.0527993, 3.82447E-008, 2.62899E-007
14, 2700.00000, 0.0815409, 0.0504523, 0.0816021, 0.0505751, 0.0814646, 0.0505671, 3.36914E-008, 2.36335E-007
15, 0.00000, 0.0868577, 0.0537447, 0.0869081, 0.0538709, 0.0867729, 0.0538518, 2.71246E-008, 2.20286E-007
15, 900.00000, 0.0859668, 0.0531935, 0.0859955, 0.0533175, 0.085873, 0.0532803, 1.66713E-008, 1.9502E-007
15, 1800.00000, 0.0804098, 0.0497469, 0.08046, 0.0498762, 0.0803238, 0.049855, 3.18243E-008, 2.37404E-007
15, 2700.00000, 0.0832343, 0.0514928, 0.0832708, 0.0516282, 0.0831345, 0.0515923, 2.91223E-008, 2.44635E-007
16, 0.00000, 0.0830083, 0.0513516, 0.0830637, 0.051489, 0.0829181, 0.0514686, 3.628E-008, 2.66419E-007
16, 900.00000, 0.0840434, 0.0519811, 0.0841079, 0.0521366, 0.0839416, 0.0521142, 4.82028E-008, 3.36554E-007
16, 1800.00000, 0.078909, 0.0487995, 0.0789657, 0.0489539, 0.0788037, 0.0489256, 4.76136E-008, 3.45202E-007
16, 2700.00000, 0.0802943, 0.0496685, 0.0803667, 0.0498077, 0.0802103, 0.0498024, 4.89658E-008, 2.98886E-007
