hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 900.00000, 0.133262, 0.0824637, 0.133123, 0.0825918, 7.37051E-005, 8.01138E-005
0, 1800.00000, 0.122579, 0.075864, 0.122462, 0.07597, 6.1096E-005, 6.73924E-005
0, 2700.00000, 0.114328, 0.0707642, 0.114226, 0.0708571, 5.37432E-005, 5.85416E-005
1, 0.00000, 0.102917, 0.0637101, 0.102836, 0.063783, 4.19112E-005, 4.72364E-005
1, 900.00000, 0.102299, 0.0633292, 0.102217, 0.0633949, 3.80704E-005, 4.7375E-005
1, 1800.00000, 0.0940072, 0.0581988, 0.0939406, 0.0582665, 3.88697E-005, 3.86153E-005
1, 2700.00000, 0.0909437, 0.0563081, 0.0908784, 0.0563543, 2.68957E-005, 3.75861E-005
2, 0.00000, 0.0870892, 0.0539214, 0.0870314, 0.0539746, 3.05192E-005, 3.34262E-005
2, 900.00000, 0.0900903, 0.0557787, 0.0900265, 0.0558289, 2.90079E-005, 3.67064E-005
2, 1800.00000, 0.0903953, 0.0559694, 0.0903297, 0.0560112, 2.42288E-005, 3.77628E-005
2, 2700.00000, 0.0877677, 0.054343, 0.0877063, 0.0543859, 2.46619E-005, 3.54437E-005
3, 0.00000, 0.0818198, 0.0506622, 0.0817687, 0.0507074, 2.58972E-005, 2.96531E-005
3, 900.00000, 0.0834014, 0.051642, 0.0833468, 0.0516821, 2.31977E-005, 3.1473E-005
3, 1800.00000, 0.0845716, 0.052365, 0.0845159, 0.0524099, 2.58546E-005, 3.21943E-005
3, 2700.00000, 0.0836871, 0.0518199, 0.0836314, 0.0518554, 2.05597E-005, 3.21261E-005
4, 0.00000, 0.081595, 0.0505269, 0.0815415, 0.0505556, 1.66449E-005, 3.08616E-005
4, 900.00000, 0.0792659, 0.0490835, 0.079218, 0.0491222, 2.22032E-005, 2.77429E-005
4, 1800.00000, 0.0783958, 0.0485445, 0.0783487, 0.0485831, 2.21033E-005, 2.72349E-005
4, 2700.00000, 0.0783616, 0.0485244, 0.0783143, 0.0485609, 2.11928E-005, 2.72521E-005
5, 0.00000, 0.101678, 0.062944, 0.101596, 0.063008, 3.67874E-005, 4.72132E-005
5, 900.00000, 0.131748, 0.0815352, 0.131605, 0.0816243, 5.15041E-005, 8.18439E-005
5, 1800.00000, 0.197189, 0.121935, 0.196872, 0.12219, 0.00014656, 0.000182484
5, 2700.00000, 0.255331, 0.157749, 0.254827, 0.158336, 0.000337412, 0.000291194
6, 0.00000, 0.135528, 0.083834, 0.135415, 0.0841168, 0.000162469, 6.55823E-005
6, 900.00000, 0.135428, 0.0837584, 0.135332, 0.0841045, 0.000196607, 5.83262E-005
6, 1800.00000, 0.123607, 0.0764877, 0.123497, 0.076647, 9.17664E-005, 6.35731E-005
6, 2700.00000, 0.123933, 0.0767023, 0.123809, 0.0768027, 5.92747E-005, 7.03062E-005
7, 0.00000, 0.110165, 0.0681859, 0.110077, 0.0682934, 6.11829E-005, 5.19979E-005
7, 900.00000, 0.122665, 0.0758961, 0.122568, 0.0760964, 0.000113444, 5.73187E-005
7, 1800.00000, 0.0978758, 0.0605744, 0.0978234, 0.0607368, 9.31653E-005, 3.08229E-005
7, 2700.00000, 0.0976004, 0.0604161, 0.0975319, 0.0605161, 5.90926E-005, 3.85544E-005
8, 0.00000, 0.11942, 0.0739225, 0.1193, 0.0739754, 3.22632E-005, 6.77781E-005
8, 900.00000, 0.125735, 0.0778233, 0.125605, 0.0778938, 4.05233E-005, 7.49611E-005
8, 1800.00000, 0.107182, 0.0663501, 0.107091, 0.0664145, 3.66789E-005, 5.28822E-005
8, 2700.00000, 0.119139, 0.0737398, 0.119028, 0.073832, 5.31042E-005, 6.41253E-005
9, 0.00000, 0.135321, 0.0837504, 0.135171, 0.0838255, 4.39176E-005, 8.59373E-005
9, 900.00000, 0.117422, 0.0726831, 0.117314, 0.0727586, 4.30621E-005, 6.25762E-005
9, 1800.00000, 0.126782, 0.0784616, 0.12666, 0.0785751, 6.45107E-005, 7.09004E-005
