hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 900.00000, 126.574, -150.075, 0.108882, -29.2806, 0.528999, 178.094, 0.528999, -1.90569
0, 1800.00000, 126.552, -150.078, 0.100488, -30.1969, 0.590485, 178.095, 0.590485, -1.9053
0, 2700.00000, 126.613, -150.066, 0.0930816, -29.936, 0.517108, 178.109, 0.517108, -1.89111
1, 0.00000, 126.573, -150.075, 0.0849202, -30.8909, 0.570392, 178.103, 0.570392, -1.89667
1, 900.00000, 126.593, -150.07, 0.0784414, -32.0643, 0.557977, 178.11, 0.557977, -1.88963
1, 1800.00000, 126.609, -150.071, 0.084445, -29.259, 0.498861, 178.108, 0.498861, -1.89222
1, 2700.00000, 126.575, -150.072, 0.0668212, -34.4547, 0.607105, 178.112, 0.607105, -1.88757
2, 0.00000, 126.611, -150.069, 0.0739135, -30.9863, 0.528539, 178.114, 0.528539, -1.88628
2, 900.00000, 126.619, -150.067, 0.0696723, -32.0782, 0.505766, 178.116, 0.505766, -1.88371
2, 1800.00000, 126.608, -150.066, 0.0612975, -35.5583, 0.564279, 178.121, 0.564279, -1.87915
2, 2700.00000, 126.627, -150.067, 0.0633159, -33.2839, 0.486308, 178.119, 0.486308, -1.88055
3, 0.00000, 126.624, -150.067, 0.0681416, -31.4149, 0.504578, 178.118, 0.504578, -1.88239
3, 900.00000, 126.606, -150.069, 0.0629538, -33.7296, 0.546678, 178.117, 0.546678, -1.88254
3, 1800.00000, 126.634, -150.065, 0.0662721, -32.0322, 0.488505, 178.12, 0.488505, -1.87973
3, 2700.00000, 126.6, -150.067, 0.0577678, -36.2739, 0.587079, 178.121, 0.587079, -1.87902
4, 0.00000, 126.586, -150.066, 0.0515586, -39.8682, 0.646696, 178.124, 0.646696, -1.87647
4, 900.00000, 126.605, -150.063, 0.0613578, -34.9963, 0.629248, 178.124, 0.629248, -1.87631
