hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
18, 2700.00000, 0.480056, 0.294986, -0.000792258, 0.0017167
19, 0.00000, 0.498544, 0.306559, -0.000784241, 0.00159091
19, 900.00000, 0.478742, 0.294425, -0.000695124, 0.00153569
19, 1800.00000, 0.470498, 0.289375, -0.000674658, 0.00149904
19, 2700.00000, 0.42716, 0.262803, -0.000661777, 0.00127495
20, 0.00000, 0.413975, 0.254761, -0.000590501, 0.00120241
20, 900.00000, 0.392131, 0.241276, -0.000637838, 0.0011416
20, 1800.00000, 0.389222, 0.239555, -0.000590893, 0.00109213
20, 2700.00000, 0.358879, 0.221018, -0.000486312, 0.000919725
21, 0.00000, 0.342707, 0.211074, -0.000431855, 0.000889724
21, 900.00000, 0.342502, 0.211043, -0.000407137, 0.000811409
21, 1800.00000, 0.348719, 0.214929, -0.000436729, 0.000755307
21, 2700.00000, 0.333699, 0.205691, -0.000369724, 0.000739194
22, 0.00000, 0.311122, 0.191829, -0.000310745, 0.000666339
22, 900.00000, 0.326737, 0.20147, -0.000283685, 0.00070499
22, 1800.00000, 0.294222, 0.181508, -0.000237132, 0.00057365
22, 2700.00000, 0.26547, 0.163803, -0.000228232, 0.00048576
23, 0.00000, 0.230593, 0.142374, -0.000148507, 0.000372139
23, 900.00000, 0.224329, 0.138512, -0.000135294, 0.000362816
23, 1800.00000, 0.22465, 0.138727, -0.000119675, 0.000356202
23, 2700.00000, 0.203284, 0.125574, -0.00010511, 0.000289374
24, 0.00000, 0.158082, 0.0977197, -6.65918E-005, 0.000175355
