hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
18, 2700.00000, 0.513582, 0.316171, 4.36103E-005, 0.00157353
19, 0.00000, 0.533359, 0.328455, 0.000111026, 0.00154478
19, 900.00000, 0.512298, 0.315436, 4.50193E-005, 0.00151331
19, 1800.00000, 0.503459, 0.310017, 3.82889E-005, 0.00147092
19, 2700.00000, 0.456907, 0.281641, 0.000100337, 0.00112856
20, 0.00000, 0.442918, 0.273016, 6.56617E-005, 0.00109593
20, 900.00000, 0.41933, 0.258649, 0.000120511, 0.000919282
20, 1800.00000, 0.416331, 0.256791, 0.000102482, 0.000917134
20, 2700.00000, 0.383919, 0.236874, 7.69505E-005, 0.000787201
21, 0.00000, 0.366692, 0.226214, 3.59657E-005, 0.000773721
21, 900.00000, 0.366481, 0.226136, 5.1193E-005, 0.000732088
21, 1800.00000, 0.373038, 0.230289, 0.000108478, 0.000666605
21, 2700.00000, 0.357097, 0.220382, 4.97385E-005, 0.000684598
22, 0.00000, 0.33298, 0.205511, 2.21803E-005, 0.000626475
22, 900.00000, 0.349782, 0.215778, -1.075E-005, 0.000729258
22, 1800.00000, 0.314965, 0.194396, -5.20111E-006, 0.00058484
22, 2700.00000, 0.284122, 0.175467, 1.67324E-005, 0.000452846
23, 0.00000, 0.246882, 0.152493, -1.17067E-005, 0.000372263
23, 900.00000, 0.240177, 0.148345, -2.0259E-005, 0.000366695
23, 1800.00000, 0.240552, 0.148558, -3.11389E-005, 0.000379288
23, 2700.00000, 0.217654, 0.134476, -1.82866E-005, 0.000300064
24, 0.00000, 0.16926, 0.104651, -9.73442E-006, 0.000178589
