hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
17, 900.00000, 0.0603441, 0.0373906, 1.37596E-005, 1.46784E-005
17, 1800.00000, 0.123283, 0.0764114, 3.72814E-005, 1.52358E-005
17, 2700.00000, 0.168546, 0.104445, 4.88449E-005, 4.04524E-005
18, 0.00000, 0.138218, 0.0856723, 7.00921E-005, 3.09814E-005
18, 900.00000, 0.0998002, 0.0618336, 4.71517E-005, 4.81721E-005
18, 1800.00000, 0.128578, 0.0796491, 4.16068E-005, 6.44565E-005
18, 2700.00000, 0.121797, 0.0754292, 3.78525E-005, 7.79592E-005
19, 0.00000, 0.176748, 0.109458, 2.69276E-005, 9.913E-005
19, 900.00000, 0.142368, 0.0881613, 2.69802E-005, 8.77886E-005
19, 1800.00000, 0.136162, 0.0843189, 2.69125E-005, 8.34832E-005
19, 2700.00000, 0.143523, 0.088901, 3.21599E-005, 6.53415E-005
20, 0.00000, 0.127535, 0.0789949, 2.76895E-005, 6.17452E-005
20, 900.00000, 0.136308, 0.0844472, 3.69475E-005, 4.99381E-005
20, 1800.00000, 0.133623, 0.0827808, 3.17466E-005, 5.16393E-005
20, 2700.00000, 0.119841, 0.0742423, 2.53384E-005, 4.43138E-005
21, 0.00000, 0.0901229, 0.0558292, 2.21607E-005, 3.79168E-005
21, 900.00000, 0.109819, 0.0680302, 1.91247E-005, 4.18356E-005
21, 1800.00000, 0.151088, 0.0936026, 1.55353E-005, 4.2765E-005
21, 2700.00000, 0.112956, 0.0699726, 1.56E-005, 4.13588E-005
22, 0.00000, 0.0900197, 0.0557634, 1.36516E-005, 3.45694E-005
22, 900.00000, 0.0827623, 0.0512595, 9.93069E-006, 3.87793E-005
22, 1800.00000, 0.0755767, 0.0468126, 8.66662E-006, 3.09485E-005
22, 2700.00000, 0.0766682, 0.047496, 1.02121E-005, 2.47085E-005
23, 0.00000, 0.0478259, 0.0296274, 5.76489E-006, 1.62844E-005
23, 900.00000, 0.0373338, 0.023127, 4.8375E-006, 1.34226E-005
23, 1800.00000, 0.0312662, 0.0193673, 3.66303E-006, 1.20565E-005
23, 2700.00000, 0.034691, 0.0214905, 3.62888E-006, 1.13197E-005
24, 0.00000, 0.0275552, 0.0170719, 2.39959E-006, 6.67722E-006
