t, Iteration, LoadMultiplier, Mode, LoadModel, PVSystemModel,  Qnominalperphase, Pnominalperphase, CurrentType, |Iinj1|, |Iinj2|, |Iinj3|, |Iterm1|, |Iterm2|, |Iterm3|, |Vterm1|, |Vterm2|, |Vterm3|,Vthev, Theta
2700, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,    122.8,    122.8,    122.8, 
0, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,    122.8,    122.8,    122.8, 
0, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,    122.8,    122.8,    122.8, 
900, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,    122.8,    122.8,    122.8, 
900, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,    122.7,    122.7,    122.7, 
1800, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,    122.7,    122.7,    122.7, 
1800, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,    122.7,    122.7,    122.7, 
2700, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,    122.7,    122.7,    122.7, 
2700, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,    122.5,    122.5,    122.5, 
0, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,    122.5,    122.5,    122.5, 
0, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,    122.1,    122.1,    122.1, 
0, 3, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,    122.1,    122.1,    122.1, 
900, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,    122.1,    122.1,    122.1, 
900, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,    121.9,    121.9,    121.9, 
1800, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,    121.9,    121.9,    121.9, 
1800, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,    122.1,    122.1,    122.1, 
2700, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,    122.1,    122.1,    122.1, 
2700, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,    122.1,    122.1,    122.1, 
0, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,    122.1,    122.1,    122.1, 
0, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,      0.0,      0.0,      0.0,      0.0,    122.1,    122.1,    122.1, 
900, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      1.1,      1.1,      1.1,      1.1,      1.1,      1.1,    122.1,    122.1,    122.1, 
900, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      1.2,      1.2,      1.2,      1.2,      1.2,      1.2,    132.9,    132.9,    132.9, 
900, 3, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      1.2,      1.2,      1.2,      1.2,      1.2,      1.2,    133.5,    133.5,    133.5, 
900, 4, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      1.2,      1.2,      1.2,      1.2,      1.2,      1.2,    133.2,    133.2,    133.2, 
900, 5, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      1.2,      1.2,      1.2,      1.2,      1.2,      1.2,    133.4,    133.4,    133.4, 
900, 6, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      1.2,      1.2,      1.2,      1.2,      1.2,      1.2,    133.2,    133.2,    133.2, 
900, 7, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      1.2,      1.2,      1.2,      1.2,      1.2,      1.2,    133.4,    133.4,    133.4, 
900, 8, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      1.2,      1.2,      1.2,      1.2,      1.2,      1.2,    133.2,    133.2,    133.2, 
900, 9, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      1.2,      1.2,      1.2,      1.2,      1.2,      1.2,    133.4,    133.4,    133.4, 
900, 10, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      1.2,      1.2,      1.2,      1.2,      1.2,      1.2,    133.2,    133.2,    133.2, 
900, 11, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      1.2,      1.2,      1.2,      1.2,      1.2,      1.2,    133.4,    133.4,    133.4, 
900, 12, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      1.2,      1.2,      1.2,      1.2,      1.2,      1.2,    133.2,    133.2,    133.2, 
900, 13, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      1.2,      1.2,      1.2,      1.2,      1.2,      1.2,    133.4,    133.4,    133.4, 
900, 14, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      1.2,      1.2,      1.2,      1.2,      1.2,      1.2,    133.2,    133.2,    133.2, 
900, 15, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      1.2,      1.2,      1.2,      1.2,      1.2,      1.2,    133.4,    133.4,    133.4, 
1800, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      1.2,      1.2,      1.2,      1.2,      1.2,      1.2,    133.2,    133.2,    133.2, 
1800, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      1.2,      1.2,      1.2,      1.2,      1.2,      1.2,    133.1,    133.1,    133.1, 
1800, 3, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      1.2,      1.2,      1.2,      1.2,      1.2,      1.2,    133.1,    133.1,    133.1, 
1800, 1, 1, Daily, PowerFlow, 1,    -0.00,     0.00, Injection,      6.9,      6.9,      6.9,      6.9,      6.9,      6.9,    133.1,    133.1,    133.1, 
1800, 2, 1, Daily, PowerFlow, 1,    -0.00,     0.00, Injection,      4.8,      4.8,      4.8,      4.8,      4.8,      4.8,     92.0,     92.0,     92.0, 
