hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
35, 1800.00000, 4.07449E034, 4.12668E034, 4.05233E034, 4.12345E034, 3.82444E034, 4.09007E034, -1.19648E035, -1.22446E035
35, 2700.00000, 4.02761E037, 4.07249E037, 4.00572E037, 4.06931E037, 3.78062E037, 4.03653E037, -1.18272E038, -1.20839E038
36, 0.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
36, 900.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
36, 1800.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
36, 2700.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
37, 0.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
37, 900.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
37, 1800.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
37, 2700.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
38, 0.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
38, 900.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
38, 1800.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
38, 2700.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
39, 0.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
39, 900.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
39, 1800.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
39, 2700.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
40, 0.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
40, 900.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
40, 1800.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
40, 2700.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
41, 0.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
41, 900.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
41, 1800.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
41, 2700.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
42, 0.00000, INF, INF, INF, INF, INF, INF, -INF, -INF
